"SINNO ID","use_sectors","Innovation name in Swedish","Description in Swedish","Additional Info"
7534001,"20101","","Ny metod att impregnera trä. I första läget gäller det järnvägsslipers. Metoden är uppfunnen i Kanada och det svenska företaget har ensamrätt i till metoden i Sverige.",""
7536001,"20","Uni-Max","Verktyg utan mellanringar för not- och sponthyvling med hydrocentrering. Inställningen sker med hjälp av en insexnyckel och breddmåttet kontrolleras med hjälp av en mätklocka. Konstruktionen innebär förenklingar för användaren.",""
7544001,"20101","PP 300","Pelletspress med hög kapacitet. ",""
7551001,"20101","","Småskalig, mobil pelletspress. Pressen är marknadens minsta och billigaste. Tekniken är patenterad och bygger på dubbelkomprimering med hydrauliska cylindrar. Vanligtvis arbetar pelletspressar med kontinuerlig pressning genom en matris, vilket kräver mycket kraft och större maskiner. ","Mindre än konventionella."
7554001,"20","Sawcommander","Dubbelspindlig klingsåg med flera individuellt ställbara klingor och en kapacitet på 180 meter per minut. Det som skiljer maskinen från andra dubbelspindliga sågar är bland annat en ny lösning för snittpassning.[par][par]De övre klingorna är individuellt ställbara för att exakt passning för de mötande snitten ska kunna ställas in. Motorn är specialutvecklad för att slippa vibrationer (se Samarbete).","Mer noggrann"
7555001,"20301","","Patenterad lösning för stegdämpning i trähus. Innovationen består av en extremt kraftig gummilist som tar upp vibrationer. ","Utvecklad för att sitta i de egna husen."
7563001,"20","Speedset","Tvådelad fräs. Fräsen har en alldeles speciell lösning för inställning direkt i hyveln utan nycklar och mätdon. Delarna vrids mot varandra tills rätt mått har uppnåtts. En graderad skala visar med stor noggrannhet tiondelar, så det behövs ingen mätklocka för att måttet ska bli rätt. ","Lätt att ställa in, minskar ställtider."
7566001,"20101","","Pelletspress för både små- och storskalig produktion. Den liggande konstruktionen gör att tyngdlagen utnyttjas då råvaran faller ner i matrisen och blir helt jämt fördelad. Konstruktionen tar upp krafterna på ett sätt som gör att den blir mycket stabil. Livslängden på matrisen är den dubbla jämfört med andra, detta pga att matrisen har dubbla rader med hål, de är förskjutna och när matrisen blir sliten vänder man bara på den och använder de två andra hålraderna. ","Stabil konstruktion"
7567001,"20","","Klyvfräs med mycket hög hastighet. Såväl klinga som fräs är tandformade. Att de klarar de höga farterna förklaras med en unik konkav backningskurva på släppningsytan och en förstärkt eggvinkel som optimerar värmeavgången. ","Klarar höga hastigheter"
7570001,"201","","Bandsåg med helt ny typ av mycket tunt bandsågsblad vilket ger tunnare snitt och gör att det går att sträcka ett tunt band betydligt mer än ett tjockt med biehållna fördlear.","Tunnare"
7572001,"20","","Distansring som monteras invid sågklingan. Med den nya ringen kunde klingan göras 0,4 mm tunnare och genom att den går så stabilt sparades ytterligare 0,5 mm. Det betyder att kunden får ett snitt som är nästan en mm tunnare än tidigare och räknat i utbyte på flera hundratusen kubikmedet timmer som passerar så blir det en väldig massa trä.","Bättre utbyte."
7574001,"02","","Slipautomat avsed för sågkedjor som slipar alla tänder exakt likadant och skipar både skärtand och ryttare i samma cykel. Detta är en helt ny metodik. Fixeringen av länken ger en precision som ökar ståndtiden avevärt.","Hög kapacitet; precision; ökad gång- och ståndtid; exakt repeterbarhet; effektivitet"
7579001,"20101","UM Chip Diverter","Propeller som blåser upp spån och damm i utsuget så att fräsningen blir renare och mer effektiv. Genom att propellern snurrar med verktyget så uppstår ett vakuum runt området som bearbetas så att spån och damm riktas upp mot spånhuven. Detta ger bättre arbetsmiljö med mindre spån och damm, maskinen hålls renare och ståndtid förlängs eftersom verktyget inte behöver skära spånor flera gånger. Sammantaget innebär det också färre driftsavbrott, vilket i sin tur medför bättre flöde i produktionen.","Ger bättre arbetsmiljö för användaren (minskar spån och damm); håller maskinen renare; ger förlängd ståndtid"
7607001,"02012","","Metod för skogsrensning som eliminerar riskerna med rotvältor och träd som fastnat i spänt läge. Metoden innebär att rotstocken kapas med hjälp av en lämpligt placerad sprängladdning.",""
7614001,"20101","","Träbearbetningsverktyg som bygger på en helt ny skärprincip och består av en cylindrisk fräskropp försedd med skär.","Längre hållbarhet; ger kontinuerlig bearbetning"
7622001,"01211","Unicar","System för automatiserad mjölkning. Kon placeras på en rörlig båspall, som enligt det automatiska systemet flyttas till olika stationer (foder, vatten, gödsel och mjölk). Utfordringen sker också automatiskt.","Automatisering av mjölkning; högre produktivitet; arbetsbesparande; bättre ladugårdshygien"
7632001,"13100","","Induktiv vagnvärmare. Värmaren är avsedd för uppvärmning av malmvagnar vintertid så att man snabbt och effektivt kan tömma malmlast.  En ny metod används ","Enbart uppvärmning av vagnssidorna behövs; snabbare värmning"
7653001,"131","","Förarlös gruvtruck med ett helt nytt styrsystem. Hjärtat i styrsystemet är en sändare som matar en styrslinga med högfrekvent växelström. Det magnetfält som alstras avkännes av två antenner på trucken. Om avståndet till den ena antennen minskar, registrerar fordonets reglerutrustning en skillnad i signalstyrka mellan antennerna och styr mot den starkare signalen.","Säkerhet; automatisering (och därigenom minskade driftkostnader)"
7661001,"01","","Flygburen tank som utan extra vinbelastning ökar ett flygplans last av flytande ämnen. Tanken har formen av en extravinge på flygplanet, som monteras rakt under dess huvudvingar och har sådan aerodynamisk profil att den blir självbärande. Vid flygning får extravingen därmed en lyftkraft, som räcker till för egenvikten plus lasten i vingen.","Möjliggör ökad flyglast"
7697001,"01","Natekotorken","Tork för rötslam där slammet indunstas och övergår till pulver som pastöriseras. Pulvret kan sedan utan risk och specialutrustning spridas på åkrarna.",""
7725001,"13","","Hydrauldriven bergborrmaskin för ort- och tunneldrivning. Maskinen har två fördelar jämfört med ett tryckluftdrivet bergborraggregat; den har mycket hög borrsjunkning och den ger markant bättre arbetsmiljö. Hydraulborrmaskinen är den första i världen för arbete under jord. ","Hög borrsjunkning, bättre arbetsmiljö."
7740001,"20102","Sonwood","Nytt material i vilket PVC och trämjöl ingår.","Knapphet på ädelträ och plastråvaror"
7770001,"131","TS 100","Tändapparat för sprängningsarbeten avsedd att öka säkerheten och minska antalet bomsalvor. Vid systemet sköts uppladdning av tändapparat och skjutning via telenätet.","I takt med gruvindustrins introduktion av centrala skjutsystem och eltändkapslar har antalet bomsalvor ökat kraftigt.Minskat antal bomsalvorUtvecklat på uppdrag av Boliden"
7777001,"02012","","Traktorband av stål och gummi för boggin till skotare, avsedd för att minska skadeverkningarna på trädens rotsystem vid skogsgallring. ",""
7782001,"02029","Tydraul","Förskjutbar släpboggie för skogstransporter som ger tidsbesparingar. Släpet är så konstruerat att hjulboggien kan förskjutas framåt under lastytan så at fordonet blir mer lättmanövrerat på slingriga skogsvägar.","Möjliggör tidsbesparingar vid lastning av timmer"
7796001,"02014","","Maskin som tar upp granplantor avsedd för verksamhet kring skogsplantering.","Arbetsbesparande; effektivitet"
7809001,"20101","","Såg med horisontell klingmatning av den roterande klingan som minskar riskerna för att arbetsstycket slungas mot operatören.","Skärpta krav på säkerheten hos byggsågarSäkerhet"
7827001,"02013","","Fjärrstyrd vinschskotare avsedd för kvistning och kapning av gallrad skog. Skotaren är utrustad med två kombinerade vinschar och kranar som manvreras via bärbara radiosändare.",""
7829001,"20301","Husplan","Datasystem för kalkylering och produktionsplanering vid trähustillverkning. Systemet registrerar kundorder i en databas som för varje kundorder innehåller 'recept' som anger vilket hus köparen beställt och vilka ändringar som ska göras.",""
7845001,"02","","Gummikudde som ersätter brytjärnet vid avverkning och därmed gör skogsarbetarens jobb lättare och säkrare. ","Risker vid trädfällningLättare, säkrare."
7852001,"02012","","Pistol som laddas med gifttabletter för att rensa bort sly, buskar och oönskade lövträd.",""
7856001,"131","","Aggregat som mekaniserar skivrasladdning i gruvor, den process där sprängämnet ska föras upp i borrhål i gruvortens tak. Vid manuell laddning är risken för ras från tidigare sprängningar stor och arbetet är tungt och obekvämt. Aggregatet består i princip av en behållare med sprängämnet i pulverform, en rulle med laddslang och en arm som kan manövreras till borrhålet från en skyddad plats.","Mekanisering"
7859001,"1823","","Världens första automatiska skjortknäppningsmaskin. Maskinen arbetar på följande sätt: Först fixeras dragknapphålet över en hake, och knapphålsraden läggs mot en kant med klamrar. Maskinen lägger ner knapphålsraden över knapparna som bygger på en borstrand. Hakar söker sig igenom knapphålen förs över knapparna och ställs på kant för att knapparna ska lutas. Därefter drar hakarna knapparna genom kanpphålen, hakarna styrs tillbaka så att knapparna kan passera genom hakarna.","Automatisering; snabbhet"
7871001,"0113","","Teknik för bärskördning. En rad skakdon tar sig fram genom bäbusken och skakar den så att bären faller ned. Skördemaskinen kopplas till en traktor som körs bredvid bärbusken. Via traktorns kraftuttag drivs skördemaskinens hydrauliska motor. ",""
7892001,"0201","Cerkon","Plastkon som fungerar som miniväxthus som ska användas vid frösådd. Konen placeras över fröet som såtts i skogen. Efter tre år är plastkonen helt nedbruten och har blivit till koldioxid och vatten. Fördelen med miniväxthuset framför plantering är att varje planta blir avsevärt mycket billigare. ",""
7897001,"02013","","Stubbrytningsaggregat. Aggregatet monteras direkt på en skogstraktor, skotare eller liknande som är försedd med lastarm. Vid maximal belastning på traktorkranen 1000 kg får man en luftkraft på tången på 36 ton. En jägmästare hävdar att stubbrytning är det enda sättet att rädda den svenska skogen från snytbaggen. Stubbrytning ger också energi till låga kostnader. ","Patenterad teknik. "
7919001,"02013","Tumlaren","Stubbrensare. När stubbarna rensas direkt på hygget minskar kostnaderna för att ta dem till fabrik. Fabrikerna gör t ex stubbflis av stubbarna. ","Utvecklad på uppdrag av Stora Kopparberg. "
7939001,"02013","","Träduppdragare; ett hydrauliskt redskap som greppar tag, bryter upp och skalar rotgrenar av trädet. Med den nya tekniken kan 25 % mer av skogen tas om handl ",""
7944001,"02013","Skellefteterminal","Metod för att tillvarata gallringsvirke. Okvistat och buntat levereras det till en terminal där virket maskinbearbetas. Hälften blir pappersmassa, hälften råvara till energiproduktion. Röjning och gallring av skog är eftersatt på många håll p g a dålig lönsamhet, med den här uppfinningen hoppas man att lönsamheten ska öka. ",""
7959001,"13100","","Malmlossningsvagn som tömmer malmen automatiskt. Tömningen sker genom att vagnkorgen, som är lös men förbunden med underredet med kedjor, lyfts när den passerar upphöjningar i rälsen, s k styrbanor. Bottenluckorna öppnas då automatiskt av lastens tyngd och avlastningen sker. ","Snabbare"
7980001,"13100","","Ny metod för gruvbrytning. Det omgivande berget hålls intakt genom isfrysning där malmen tagits ut Metoden ger möjlighet till selektiv utvinning av malmen, nästan ingen gråbergsinblandning och fullständigare malmuttag. ","Bryta med is. Effektivare"
7982001,"13100","","Förbättring av den s k ""non-elstubinen"". Det är en stubin som utlöses på mekanisk väg, alltså inte med elektricitet. . Det är framförallt i gruvnäringen stubinen används, då man är rädd för vådatändning av de elektriska stubinerna. ","Mindre känslig"
7986001,"011","","Odlignspapper baserat på torvfibrer. Torvfibrerna ger pappret egenskaper som gör det lämpligt för odlingsändamål. Det är t ex lätt att plöja eller harva ned efter odlingssäsongens slut. Pappret är i första hand avsett för odling av grönsaker i torra, sterila områden (t.ex. öknen). ","Torvfibrer på papper"
8015001,"204","Nitspiken","Spik med ""synålsöga"" i den vassa änden. Öglan pressas isär när spiken når mothåll och förhindrar att den vandrar i trät. ",""
8020001,"201","","Utrustning för komprimering av talltoppar. Innan har det inte varit lönsamt att ta hand om klenvirke men med den nya metoden går det att bättre nyttja transportfordonens lastkapacitet. ",""
8039001,"131","","Bergbult i glasfiberarmerad polyester. Bulten är billigare än stålbultar, sett till den totala bultningskostnaden. ",""
8065001,"02029","Hälleforskalkaren","Automat för automatisk och kontinuerlig kalkning av sjöar. Kalkningsautomaten sätts ut vid bäckar. ","Försurade sjöarKontinuerlig kalkning"
8070001,"0121","Dacamatic","Datoriserad utfodringvagn. ","Exakt utfodring. "
8078001,"131","Swellex","Bergbult av stålrör som hindrar gruvtak att rasa. Den är avsedd för bergförstärkning i tunnlar och bergrum. Den finns för borrhålsdimensioner om 33 - 39 mm i berg och fylle runder expansionen ut hela borrhålet, inklusive eventuella ojämnheter i hålet. bulten är avsedd för temporära förstärkningsuppgifter inom gruvindustrin och vid tunnelarbeten. En stor fördel hos metoden är att den omedelbart ger full verkan, dvs full hållfasthet hos det aktuella bergavsnittet. Bultsättningen kan utföras av en man, vilket innebär en snabb och ekonomisk förstärkningsmetod. Ett hopvikt stålrör stoppas in i ett borrhål och fylls med vatten. Vattntrycket får röret att utvidga sig och fastna i borrhålet. Det fungerar därefter som en bergbult och håller ihop sprickorna i berget. ","Lastupptagningsförmåga"
8085001,"20302","","Profilsystem för beklädnad av träfönster. Med profilsystemet blir fönstrena näst intill underhållsfria. Profilerna är i stål. ","Mycket underhåll av träfönster. "
8111001,"011","","Konstgödselspridare av modell större. Om jordbrukaren kan köra i några få fasta spår, så kan maskinen användas långt i i växtsäsongen, eftersom det är förhållandevis lite gröda som förstörs om spåren är få. Då kan jordbrukaren gödlsa fler gånger med mindre givor än vad som är vanligt idag då jordbrukare gödlsar mellan en och två gånger om året. Då minskar också avrinningen av gödsel till vattendrag och grundvatten. Det innebär mindre övergödning. ","Övergödning.Gör färre spår."
8112001,"0112","","Pneumatisk planteringsmaskin för sallads- och blomkålsplantor. ","Underlättar och snabbar upp."
8122001,"02013","","Multifunktionell skogsavverkningsmaskin. Maskinen fäller träd och transporterar sedan ut dem ur skogen. Upprinnelsen till innovationen är den allt större utbredningen av helträdsavverkning och den förlust som görs när träden släpas ut ur skogen. ",""
8128001,"0122","","Hästsko i anodiserad aluminium. Ytskiktet gör skon är lika hård som vore den av stål samtidigt som den är hälften så tung. En annan fördel är att anodiseringen förhindrar att galvaniska strömmar uppstår mellan hästskon och hoven. De ger ofta upphov till sprickbildningar i hoven. ","Hälften så tung, mindre skador. "
8129001,"02013","","Hydrauldriven kombinerad såg- och klyvmaskin. Maskinen matas med stockar som den med en kedjesåg kapar i lämplig kubblängd. Kubben faller ner i klyven där en hydraulkolv trycker kubben genom ett stjärnformat klyvjärn. ",""
8149001,"02013","","Specialmaskin för skörd av energiskog. ",""
8167001,"02013","Tree-Max","Skogsmaskin som rycker upp hela träd med stubbe och rotsystem. ",""
8172001,"0112","Reometer","Apparat för kontroll av ett materials reologiska egenskaper. Kan handla om t ex viskositet. ",""
8188001,"01228","","Skärtillsats till slipmaskin avsedd för verkning av hovar. ","Tungt arbete vid verkning av hovar. "
8193001,"02","","Plaststift för fästning av etiketter på virke. ","Metallskrot fastnar och förstör virkessågar. "
8203001,"13","","Hängflak av gummi. Gummi kan under vissa omständigheter vara hållbarare än stål. På grund av sin elasticitet deformeras inte gummi om man utgår från att gummit har rätt tjocklek. Gummit dämpar buller som uppstår vid lastning. ","Buller vid lastning.Längre hållbarhet, mindre buller. "
8211001,"011","","Soldriven vattenpump. Pumpen drivs av en varmluftsmotor. Varmluft eller freon från solpanelen går in i överdelen av motorn. Den är förbunden med den nedre behållaren medelst en rörledning med ventiler. När pumpvattnet kyler luften så uppstår en kolvrörelse och ett tryck i vattenbehållaren som motorn är placerad i. Den börjar då suga vatten ur brunnen och pumpa det vidare till ett vattentorn eller en behållare en bit upp i luften. ",""
8212001,"01111","","Solfångare för spannmålstorkar. Absorbatorn i solfångaren består av ett löst pressat fibermaterial av samma typ som används till isolering i bilar. Finessen med ETAB: s solfångare är att man får en mycket större värmeöverförande yta genom att suga luft genom hela absorbatorn med hjälp av en fläkt. Att ytan blir större beror på att varje tråd i fibermaterialet tar upp värmstrålning. ","Större värmeöverförande yta. "
8225001,"13","GT35","Gasturbinsanläggning. Speciellt lämpad för hantering av gruvgas, som dels has betydligt lägre vrmevärde än vanlig naturgas, dels en varierande halt metangas. Turbinens reglersystem klarar också snabba växlingar i gasens sammansättning. ",""
8238001,"202","","Metod för att avfetta furufanér. ","För mycket spill.Utvecklat för egna behov men ska även säljas. "
8241001,"011","","Separator som gör det möjligt att framställa luktfrit höns- och svingödsel. De fasta beståndsdelarna tuggas sönderoch den finfördelade flytgödseln pumpas sedan upp till en specialtillverkad separator. Där skiljs den flytande delen bort och går ner i en brunn. De fasta beståndsdelarna i gödseln slungas från separatorn ut på golvet i det speciellt uppsatta tältet där hela processen försiggår. På golvet finns en fläkt som är kopplad till ett långt rör. Med en meters mellanrum ligger ytterligare sex rör kopplade i vinkel till det längre räret- I rören finns små hål som blåser kalluft genom komposthögen som ligger ovanpå. Förmultningsprocessen styrs genom dosering av luften. Med rätt lutning kommer det hela igång på några timmar och redan då är temperaturen uppe i 67 grader. Efter sex veckor är temperaturen 37 grader och lukten är borta.","Luktfri gödsel."
8268001,"41002","","Teknik för avsaltning av havsvatten genom omvänd osmos. ",""
8379001,"02013","","Mikrodatorstyrd skogsmaskin. Maskinen är den första i sitt slag som arbetar enligt den s k värdeapteringsprincipen. Det innebär att virkesvolymen hos ett träd utnyttjas på ett sådant sätt att det ekonomiska ytbytet blir så stort som möjligt. De dagsaktuella virkespriserna matas in i en databas. Därefter är det bara för maskinföraren att fälla ett träd och mata in vilket trädslag det rör sig om. Maskinen arbetar sedan direkt mot prislistan. Trädets dimenstioner mäts och datorn beräknar hur trädet bör kapas för att det maximala virkesvärdet ska kunna tas till vara. ","Mikrodatorstyrd. Optimerar uttaget av virke. "
8422001,"20101","","Mätram för sågverk. Ramen mäter diameter och form hos varje individuell stock. Mätramen minskar spillet för sågverken. Mätningen sker med lysdioder och dubbla fotoceller. ",""
8461001,"13200","Mikrosonden","Analysinstrument för sökning av tunga mineraler, exempelvis guld. Instrumentet är en kombination av ett engelskt analysinstrument och en japansk elektronminsond. Mätdatorn söker automatiskt efter provet och identifierar kornen med hjälp av bildbehandling och röntgenanalys. Instrumentet kan hitta guldkorn eller andra intressanta saker, ner till en storlek på en tusendels milimeter. ","Utvecklat för egna syften. Processinnovation."
8499001,"02012","","Helikopterburen såg för grenröjning. Sågen fungerar som en vanlig motorsåg, men istället för svärd och kedja har den en balk med tio friliggande sågklingor.","Lägre kostnader för användaren"
8573001,"131","","System för behovsstyrd ventilation av gruvor. Man sätter radiosändare på lastmaskiner, dumpers och arbetsplattformar i gruvan. Sändarna lämnar ett kodat meddelande som talar om vem man är och var man är och hur mycket luft fordonet behöver.  Systemet är behovsstyrt och frisk luft styrs till de områden där luft förbrukas. Systemet är uppbyggt runt två huvudkomponenter; dels en radioutrustning med vars hjälp varje fordons position (det är fordonen som förorenar luften) kartläggs. , och dels ett system för varvtalsreglering av sekundärfläktar för att ge varje brytrum erforderlig luftmängd. Genom kommunikation till gruvans processdator adderas gruvans spridda ventilationsbehov och primärfläktarna vid marknivån blåser ner en anpassad luftmängd. ","Energibesparande; snabbare svarstid (mellan sändare och mottagare)"
8644001,"01131","","Lagringsteknik med vilken extremt låg syrehalt gör frukten hållbar under lång tid genom att mognaden bromsas upp och äpplena ""vilar"" före de mognar. Den låga syrehalten kommer av att man blåser in kvävgas, som tränger ut syret ur luften i lagerrummet. ","Frukten håller sig fräsch längre."
8741001,"02013","Ecoplugg","Biologisk nedbrytbar plugg i plast för slyrensning.",""
8758001,"20103","","Metod för tryckimpregnering med linolja. Miljövänligt impregneringsmedel för trä. Medlet är en modifierad oljeprodukt. Medlet får så låg viskositet så att det kan tränga in i kärnan av träet. ","Ger färg som sitter kvar längre; blir svårare att mögla"
8781001,"20203","","Pressat trä som tillverkas med en patenterad isostatisk pressningsmetod.","Applicering av teknologier på nya områden (Quintuspressen applicerad på trätillverkning)"
8789001,"01111","Cedomon","Biologiskt bekämpningsmedel baserat på bakterien Pseudomonas chlororaphis som producerar små mängder lätt nedbrytbara bekämpningsmedel direkt på det groende kornet. Medlet kan ersätta några av de giftiga kemiska preparat som idag används vid betning av spannmål, då utsädet skyddas mot sjukdoma.",""
8803001,"02029","","Metod att lastsäkra med vakuum. Lastsäkringen går till så att en tätningsduk läggs öve lasten. Med en vakuumpump minskas trycket inne i duken som då pessas mot godset. Därmet pressas också godset mot flakytan vilket ökar fiktionen och därmed motverkas risken att lasten ska glida eller tippa. Fördelen med vakuumsäkring är att den går betydligt snabbare än konventionell säkring med spännband.","Tidsbesparande; mindre risk att lasten ska glida eller tippa"
8835001,"02","Rotfinder","Instrument som detekterar mängden röta i träd. Tekniken bygger på att de metaller (mangan och kalium) som tas upp av trädet när det börjar ruttna spåras genom att elektricitet tillförs trädet. ",""
9014001,"01","Thermoseed","Teknologi för att med varm luft i en fluidbädd blåsa utsäde fritt från smittor och sjukdomar.","Vidareutveckling av en uråldrig metod där man doppade säckar med utsäde, först i varmvatten och sedan i kallt, innan det torkades och lagrades inför vårsådden."
9039001,"01","EH92-527-1","Gentekniskt förändrad stärkelsepotatis. Potatisen är inte till för att ätas utan för att användas som stärkelseproducent till industrin. ",""
9048001,"02012","","Papper som är vattentätt baserat på katalytisk process som ger nya egenskaper hos cellulosa och kan användas för att impregnera trävirke så att det står emot röta och eld, eller för att göra bommullstyg vattenavstötande.","Ny teknik som ger cellulosa helt nya egenskaper. Papper görs vattenfrånstötande genom att en fettsyra bundits till cellulosamolekylen."
9089001,"20301","","Nytt byggsystem för höga trähus med en balken som klarar långa spännvidder och dämpar stegljud.","Materialsnål konstruktion; klara långa spännvidder; dämpar stegljud"
9120001,"01410","","Miljövänliga gödselmedel för trädplantor som bygger på aminosyror vilka innehåller det kväve som växterna behöver. 2008 vil Swetree börja testa gödsel också på andra typ er av plantor","Forskningsresultat gällande aminosyror som ska användas i framställningen av gödselmedlet"
9226001,"20101","X-block","Energisparventil som kan monteras på befintliga tryckluftscylindrar och få dem att gå fortare, jämnare och tystare och bara dra hälften så mycket tryckluft som tidigare. Det sänker energikostnaden med minst hälften.","Ger fortare, jämnare och tystare tryckluftscylindrar; drar bara hälften så mycket tryckluft; sänker energikostnader; sänker luftförbrukningen"
9250001,"17403","Peranet","Strängsprutat plastmaterial med galler- eller nätstruktur som produceras med en för den nordiska marknaden ny teknik","strängsprutformningsteknik"
9305001,"13100","Orebed Magnetic Lining","System för infordring av malm, uppbyggt av keramiska permanenta magneter invulkade i gummi","energibesparing; ökad kapacitet"
9408001,"20103","MODOLOG","Polymeriska impregneringsagenter för (gran-)trä","dimensionsstabilitet"
9412001,"02","Kockum Arbomatic Processor","Maskin för skogsindustrin som används vid bearbetandet av avverkat timmer (t.ex. för avkvistning etc.).",""
9415001,"013","","Jordförbättrande produkt som är resultatet av en ny process som istället för att bränna barkavfall, vilket är ett miljöproblem, konverterar barkavfallet till denna produkt","bränd bark var ett allvarligt miljöproblem"
9417001,"201","","Nytt emballagematerial av papper. Pappret är högtöjbart med mellanliggande plastfolie och asfaltlaminering.","Säkerhet, fuktavvisande, lägre kostnad för användaren; ger sågverken möjlighet att skära ner distributions- och hanteringskostnader"
9418001,"20301","Vänerply Profil","Ny typ av plywood, avsedd för utvändiga paneler vid småhusbebyggelse, som framställs med ytfaner",""
9423001,"201","Sandvik ""minivib""","Cirkelsågklinga i hårdmeall som ger mindre buller genom att en urvarvning i klinglivet är fyllt med ett ljud- och vibrationhämmande material",""
9431001,"02","Volvo BM 900 (eller ""skördaren"")","Ny skogsmaskin som har högre kapacitet och kan både fälla, kvista och kapa ","Högre kapacitet, kan både fälla, kvista och kapa"
9432001,"201","P-Såg","Nytt minidatorbaserat styrsystem för sågverk. Från någon av dataterminalerna i sågverket kan man utan dröjsmål få de besked man önskar. T ex produktionsrapporter, uppgifter om sågutbyten, avbrottsstatistik eller kontroll uppgifter gällande brädernas dimensioner.","Utvecklad för den egna anläggningen, sedemera försäljning."
9433001,"02012","","Ny traktordriven flishuggarmaskin som är självmatande",""
9436001,"201","","Vattenkyld klingsåg med tunnar sågsnitt, mindre sågbyggnad och högre kapacitet","tunna sågsnitt, mångsidig postning med tunna sidobräder, enkel verktygsskötsel, god måttnoggrannhet"
9446001,"02012","Kockums 81-11","Liten skogsmaskin för 'tidiga gallringar' som genom sin litenhet lätt tar sig sin i skogsbestånden och fäller de rätta träden","Avlastar personalen; gör tidiga gallringar lönsamma; enkelhet; möjliggör en förlängd gallringssäson; kan arbeta i fraktionerad slutavverkning"
9448001,"02","NACO procesen","Ny process för produktion av blekt massa.","Mindre produktionsenheter"
9454001,"20101","","Ny virkestorkare som genom att undanröja organiska upplösare drastiskt minskar energikonsumtionen. Problem vid konventionella virkestorkare som opererar med stora luftmängder äär att virket torkas ut. Genom att använda turbulent luft begränsas den nödvändiga luftbolymen vilket besparar en stor energimängd. ","minskar mängden luft som går åt vid torkning; energibesparande"
9458001,"201","Pulco Blåskydd","skyddsmedel mot blånads- och mögelsvampar där den aktiva substansen är ortefenylfenol för sågat virke",""
9460001,"01124","","automatiserat bioenergisystem som konverterar skogsrester till bränsle, som bygger på en ny mobil kvistningsmaskin","profitabilitet för användaren, energibesparande"
9462001,"02","","Tabletter som tar död på träd som skapar lövslyproblem genom att tabletter förs in i trädstammen","problem med lövsly på hyggen"
9464001,"02013","","Anläggning som bygger på ny barkningsteknik som gör det möjligt att barka eucalyptus oavsett ålder.","hög kapacitet"
9524001,"02","","Maskin som komprimerar avverkade träd till hanterbara stockar som sedan kan forslas ut ur skogen. Det fällna virket blir mer hanterbart och hela processen blir smidigare.","Smidigare hantering av avverkat timmer"
9525001,"02","","Maskin som komprimerar avverkade träd till hanterbara stockar som sedan kan forslas ut ur skogen. Det fällna virket blir mer hanterbart och hela processen blir smidigare.","Smidigare hantering av avverkat timmer"
9552001,"17300","Jetair luftinjektionsssystem","Luftinjektionssystem för bomfärgningsapparater. Systemet består av en luftdysa och en manöverpanel för mätning och reglering av luft tillförseln. ","Låg tryckdifferens (för att undvika tillplattning och sträckning i varan)"
9553001,"182","System Asea-Montex","Produktionsapparat för beklädnadsindustrin som ger rationaliseringsvinster och är en vidareutveckling av Aseas drivutrustning 'Thyristop'.",""
9556001,"17600","","Avsyningsmaskin som tillåter att den flata trikåslangens båda sidor kan avsynas vid endast en passagen genom maskinen.","Steglös reglerbarhet"
9557001,"17600","","Uppskärningsmaskin avsedd för uppskärning av rundstickad trikåväv.","Steglös reglerbarhet; precision"
9558001,"17600","","Krympmaskin för rundstickad trikå som reducerar krympeffekten vid tvätt av de färdiga plaggen och eliminerar också centrifugerings- och våttafflingsprocesserna av varan vid beredningen.","Reducerad krympeffekt vid tvätt av plagg"
9561001,"18","Erwotex 1001","Fixeringspress för påpressbara mellanlägg som aretar enligt en ny princip. Pressens arbetssätt tillåter hög kvalité vid vidhäftning mellan tyg och mellanlägg samt hög produktionskapacitet.","Hög kvalité vid häftning mellan tyg och mellanlägg; hög produktionskapacitet; skonsamhet; låg vikt (lätt att transportera)."
9562001,"182","","Specialkonstruerad lager- och transportlåda och galge som huvuddel av ett system för lagerhållning och leverans. Direkt efter pressning hängs plagget på galgen so placeras i lådan. Lådan eliminerar bekymmer med lagerdam. ","Problem med reklamationer.Minskat lagerdamm; bättre hållbarhet för kläder under lagring och transport."
9563001,"18","Gerber Cutter System","Lägg- och tillskärningsbord där bordskivan har små hål. Genom hålen blåses luft så att man får en luftkudde mellan bordskiva och materiallägg.","Låg friktion mellan lägg- och bord."
9564001,"18","Roto-Sieve","Roterande siltrumma för rening av avloppsvatten från bl.a. textil- och garveriindustrier. I trummans första del med fin perforering uppslammas suspensionen till trögflytande konsistens. Skruvtransportören vidarebefordrar massan till nästa fack, där avvattningen fortsätter medelst medbringaren. En roterande borste rensar kontinuerligt siltrumman.","Verkningsgrad"
9566001,"18221","","Halvautomatisk maskin för tillverkning av kavajer som ingår i en metod för applicering av axelvaddar. Kombi-mellanläggen är avsedda för frontfixering utan användning av extra bröstbelägg och därför är basväven vävd i rapporter med olika styvnadsgrad. Detta vävnadssätt eliminerar behovet av extra bröstbelägg och man sparar således material och tid.","Tidsbesparande; lägre användarkostnaderAnpassad till ny produktionsmetod för tillverkning av kavajer."
