SINNO ID,use_sectors,Innovation name in Swedish,Description in Swedish,Additional Info,innovation_type,bioeconomy_vision,notes
7056001,20,Rapsody,"Rengöringsmedel baserat på rapsolja, som alternativ till lacknafta som är effektiv på vedhartser och är helt nedbrytbar.",,"207, 101","1,2",
7058001,1,,Flyttbar anläggning för tillverkning av rapsmetylester,Rapsproduktion ersätter dieselolja. Innovationen möjliggör sådan produktion,"207, 101, 110","1,2",
7060001,1233,,Grisfoder som innehåller en protein som tillåter näring att absorberas tidigare i matsmältningsssystemet vilket därigenom förebygger matsmältningsproblem,,103,0,
7067001,17250,,"Genmodifierad potatis för produktion av bindemedel och ytstarkare papper i pappersindustrin, samt för lätthanterligare glasfiberväv och stabilisering vid oljeborrning och till varpliming.",Teknik kallad antisensteknik som används för att överföra den önskade genen till potatisen. Genen sätts samman i en så kallad genkonstruktion och förs in i potatisen medhjälp av en särskild jordbakterie.Potatisen gör det billigare för pappersindustrin att utvinna stärkelsen,108,1,"check article, forest related, pulp and paper"
7139001,17,Apyrum,"Flamskyddsmedel som är baserat på citrat och acetat (salter) och är därmed miljövänligt. Medlet kan användas i flertalet material såsom PUR, PVC (sedan 2008), latex, gummi, trä, etc. ",,207,0,"check article, tree relation, maybe reduces chemical waste"
7176001,1113,FS Packer 101,Förpackningsmaskin för förpackning av potatis som löser problemet med potatisen kommande damm viid försegling av polyetenpåsar.,Kapacitet; ,0,0,check article
7217001,11,,"Hönsgödsel i form av briketter. Gödseln tas om hand i ett slutet system med en torkad och kornad slutprodukt, automatiskt paketerad. Det varma kondensvattnet som uppstår vid torkningsprocessen används för att värma upp hönshusen. ",,0,0,Check article
7223001,16000,D-4,Mikrodatorbaserat system för industriell vägning och dosering. D-4 kan dosera ett praktiskt sett obegränsat antal komponenter och varje instrument kan betjäna upp till nio vågplatser. Mikrodatorbaserat system för industriell vägning och dosering. Systemet byggs upp av kombinerbara standardmoduler vilket ger skräddarsydda systemlösningar och möjligheter till successiv utbyggnad i takt med behov. ,Flexibilitet.,"601,602",9,"not forest, not bioeconomy, perhaps not even eco inno"
7250001,1114,,"Det monogerma sockerfröet. Fröet ger upphov till en betplanta till skillnad mot det naturliga betfröet som är en samling frön och således ger upphov till en samling plantor. Med det nya fröet slipper man den tidsödande gallringen. Fröet har sedemera utvecklats, nu har man uppfunnit en teknik för att pelletera det. Fröet ingjuts då i en massa så att det får enhetlig form och storlek för att underlätta sådden. Man kan okcås innesluta växtnärings- och bekämpningsmedel i massan. ",Utvecklat för användning inom koncernen. Även export. ,0,0,not forest
7263001,123,H-grisen,"En ny ras av grisar som avlats fram genom att först korsa raserna Yorkshire och Svensk lantras. Därefter har en tredje, den nordamerikanska rasen Hampshire korsats med den första Yorkshire/Svensk lantras avkomman. Den nya grisen har lägre fetthalt än vanlig svensk gris.",,111,"1, 2",not forest
