sinno_id,name,firm,description,year,use_sector
10189001,Moccasin,Gislaved AB ; Gislaved ; 9795002,"Drivband för maskiner inom skogs- och jordbruk. Innovationen representerar ett nytt tänkande vad gäller drivband till arbetsmaskiner.  F n används band av stål, vilka sliter på både maskiner och vegetation. De nya bandplattorna är tillverkade av uretangummi, ett specialgummi som kombinerar goda hållfasthetsegenskaper med hög elasticitet. Plattorna har därför kunnat göras längre än vanliga stålplattor, vilket ger god bärighet och stabilitet. Genom ett enkelt system sammanfogas bandplattorna med sidolänkar av stål. ",1982,29320
10190001,,Volvo BM ; Volvo BM  ; 9799002,"Traktorserie. Konstruktionen är unik i det avseende att framaxeln är placerad mitt under motorn och att den rymliga bränsletanken på 180 L bildar en bärande del av chassiet. Axelns placering ger mycket gynnsam viktfördelning och därmed goda dragegenskaper. Kraftöverföringen till den drivna framaxeln är helt inbyggd och väl skyddad. Fyrhjulsdriften tillsammans med att traktorn är robust och har släta botten- och sidoytor, stor frigångshöjd och låg tyngdpunkt gör den också användbar i skogskörning. ",1982,01
10190001,,Volvo BM ; Volvo BM  ; 9799002,"Traktorserie. Konstruktionen är unik i det avseende att framaxeln är placerad mitt under motorn och att den rymliga bränsletanken på 180 L bildar en bärande del av chassiet. Axelns placering ger mycket gynnsam viktfördelning och därmed goda dragegenskaper. Kraftöverföringen till den drivna framaxeln är helt inbyggd och väl skyddad. Fyrhjulsdriften tillsammans med att traktorn är robust och har släta botten- och sidoytor, stor frigångshöjd och låg tyngdpunkt gör den också användbar i skogskörning. ",1982,02
10195001,,Atlas Copco AB ; Atlas Copco ; 9764002,"System för att hindra oljeutsläpp. Bryggan där oljelasten ankommer har försetts med plåtskärmar, som går ned någon meter i vattnet. Tryckluft leds genom en matarledning ned till två perforerade ""bubbelslangar"", som från bryggans yttre hörn sträcker sig 10 m ut i vattnet och in under skrovet på fartyget. Den tryckluftsdrivna barriären, som skapats av bubbelslangar och plåtskärmar, täcker en vattenyta på 1200 kvadratmeter, huvudsakligen under bryggan. När luftbubblorna från de perforerade slangarna stiger uppåt, för de med sig en vattenström. Därigenom når man en effektiv tätning mot fartygets skrov och skapar samtidigt en strömning, som fångar upp den utsläppta oljan. ",1982,
10214001,Automat typ TO/TR/TM,Agaria Industri AB ; Agaria Industri ; 9216002,"Program med avfettningsautomater för fixtur- och korggods. Automaterna är helkapsalde och ventilerade för att garantera att inga vätskeångor tränger ut till omgivningen. De är anpassade till framtida teknik- och miljökrav och har hanteringsautomatik med PC-styrningssystem. Målet för utvecklingen har varit att skapa en flexibel, automatiserad avfettningsfunktione, som kan anpassas till olika behov vad gäller krav på kapacitet, resultat och automatiseringsgrad. ",1983,-100
10223001,,Ergonomi Design Gruppen AB ; Ergonomi Design Gruppen ; 9225002,Ergonomiskt riktigt utformad arbetsstol för industrin. ,1984,-100
10224001,,Saab Scania ; Saab-Scania ; 5472002,"Låsningsfritt bromssystem. Systemet är uppbyggt med fyra kanaler, vilket innebär att bromsningen regleras individuellt för varhe hjul på ett tvåaxligt fordon. Hos treaxliga fordon är regleringen gemensam för dric- och stödhjulen på respektive sida. I systemet ingår en automatisk kontrollfunktion, som redan vid starten testar de elektriska elektroniska funktionerna. Under körningen genomförs fortlöpande avsökning och indikering av eventuella fel. Fördelarna med låsningsfria bromssystem begränsas till de tillfällen, då föraren bromsar hårdare än vad den tillgängliga friktionen mellan däck och vägbana tillåter. I en sådan situation låser sig några eller samtliga hjul, om fordonet inte har låsningsfria bromsar. Med ett sådant system däremot utnyttjas alltid den tillgängliga vägfriktionen. På deta sätt uppnår man 10-20 % kortare bromssträcka. Hjulens rotation övervakas av en givare placerad vid varje hjul. Givaren sänder fortlöpande information till en centralt placerad mikrodator, som bearbetar den. Uppstår det en tendens till hjullåsning, sänder elektronikenheten signaler till en snabbverkande ventil vid varje bromscylinder, varvid trycket korrigeras till en nivå som ger högsta bromsning utan låsning av hjulen. ",1984,34300
10232001,,Groko Maskin AB ; Groko Maskin ; 9808002,Lastpall av bockad profilerad tunnplåt. Pallen väger ca 10 kg mindre än de av trä och ca 20-30 kg mindre än andra pallar av plåt. ,1985,-100
10232001,,Groko Maskin AB ; Groko Maskin ; 9808002,Lastpall av bockad profilerad tunnplåt. Pallen väger ca 10 kg mindre än de av trä och ca 20-30 kg mindre än andra pallar av plåt. ,1985,60
10232001,,Groko Maskin AB ; Groko Maskin ; 9808002,Lastpall av bockad profilerad tunnplåt. Pallen väger ca 10 kg mindre än de av trä och ca 20-30 kg mindre än andra pallar av plåt. ,1985,61
10232001,,Groko Maskin AB ; Groko Maskin ; 9808002,Lastpall av bockad profilerad tunnplåt. Pallen väger ca 10 kg mindre än de av trä och ca 20-30 kg mindre än andra pallar av plåt. ,1985,62
10232001,,Groko Maskin AB ; Groko Maskin ; 9808002,Lastpall av bockad profilerad tunnplåt. Pallen väger ca 10 kg mindre än de av trä och ca 20-30 kg mindre än andra pallar av plåt. ,1985,63
10237001,,Alscan Rubber AB ; Alscan Rubber ; 9239002,"Metod för att belägga valsar, rullar, profiler och andra komponenter med gummi. Metoden går ut på att expandera det redan vulkaniserade gummimaterial, i form av en slang, som skall utgöra beläggningen. Slangen hålls sedan i utspänt läge. Därefter är det bara att göra in önskat objekt i slangen och låta den söka återta sin ursprungliga dimension, varcid den kommer att spänna runt det inneslutna ämnet/kärnan. Tidigare har möjligheterna att gummibelägga material varit begränsade till material som tål värme. Metoden är patentsökt i 20 länder. Metoden öppnar för att gummibelägga bl. a. trä, plast och andra brännbara material. ",1985,
10280001,,TermoRegulator AB ; TermoRegulator ; 9282002,"Sprutbox. Överskottet av färgpartiklar vid sprutmålning har man hittills försökt fånga in med hjälp av antingen torra filter av t ex papper eller konstfiber eller våta med vatten som filtreringsmedium. Vattenfilter ger högst verkningsgrad. Med den nya tekniken öper ett 1000 mm brett teflonband över två brytrullar, en nedre och en övre. Bandet, som är perforerat passerar med sin nedre del genom en bassäng, innehållande parafinolja. En utsugningsfläkt skapar undertryck på bandets baksida. På framsidan sugs färgstoft mot och stannar på det paraffinoljevåta bandet. Vid passagen genom bassängen släpper de, jämfört med olja, tyngre färgpartiklarna, sjunker och sedimneterar på botten. Reningsgraden blir nästan hundraprocentig. ",1989,351
10294001,System 2000,Säffle Karosseri AB ; Säffle Karosseri ; 9296002,"System för tillverkning av busskarosser. Tekniken är baserat på en ny stomkonstruktion med ett fåtal strängpressade profiler av aluminium, varav en ""enhetsprofil"". Med systemet lanseras en teknik, som gör det möjligt att bygga busskarosser med hög styrka, god korrosionsbeständigheter och lång livslängd. Monteringsarbetet förenklas med den nya metoden, eftersom stommen byggs upp med ett begränsat antal ""element"" -totalt ett 30-tal profiler av aluminium, plast och gummi. Endast en typ av skruvförband används. En annan fördel är att man uppnår hög rpecision vid monteringen. ",1992,34100
10307001,CARB,SKF ; SKF ; 9839002,"Compact Aligning Roller Bearing. Helt nytt kyllager som tillåter snedställning, avsevärda axiella förskjutningar och kan ta upp stora radiella laster. Lagret är skyddat av flera patent. Lagret fungerar som ett axiellt frigående lager, samtidigt som det möjliggör konstruktioner med låg sektionshöjd, ger låg friktion och tillåter presspassning a både ytter- och innerring. Med det nya lagret kombineras fördelarna hos cylindriska- och sfäriska lager samt nållager. Det nya lagret uppges tillåta 10 ggr större snedställning än ett cylindriskt, koniskt eller nållager. 100 ggr större axiell förskjutning än ett sfäriskt rullager och upp till 30 % större last än det kraftigaste konventionella rullager som hittills konstruerats. ",1995,-100
10307001,CARB,SKF ; SKF ; 9839002,"Compact Aligning Roller Bearing. Helt nytt kyllager som tillåter snedställning, avsevärda axiella förskjutningar och kan ta upp stora radiella laster. Lagret är skyddat av flera patent. Lagret fungerar som ett axiellt frigående lager, samtidigt som det möjliggör konstruktioner med låg sektionshöjd, ger låg friktion och tillåter presspassning a både ytter- och innerring. Med det nya lagret kombineras fördelarna hos cylindriska- och sfäriska lager samt nållager. Det nya lagret uppges tillåta 10 ggr större snedställning än ett cylindriskt, koniskt eller nållager. 100 ggr större axiell förskjutning än ett sfäriskt rullager och upp till 30 % större last än det kraftigaste konventionella rullager som hittills konstruerats. ",1995,29
10307001,CARB,SKF ; SKF ; 9839002,"Compact Aligning Roller Bearing. Helt nytt kyllager som tillåter snedställning, avsevärda axiella förskjutningar och kan ta upp stora radiella laster. Lagret är skyddat av flera patent. Lagret fungerar som ett axiellt frigående lager, samtidigt som det möjliggör konstruktioner med låg sektionshöjd, ger låg friktion och tillåter presspassning a både ytter- och innerring. Med det nya lagret kombineras fördelarna hos cylindriska- och sfäriska lager samt nållager. Det nya lagret uppges tillåta 10 ggr större snedställning än ett cylindriskt, koniskt eller nållager. 100 ggr större axiell förskjutning än ett sfäriskt rullager och upp till 30 % större last än det kraftigaste konventionella rullager som hittills konstruerats. ",1995,33
10307001,CARB,SKF ; SKF ; 9839002,"Compact Aligning Roller Bearing. Helt nytt kyllager som tillåter snedställning, avsevärda axiella förskjutningar och kan ta upp stora radiella laster. Lagret är skyddat av flera patent. Lagret fungerar som ett axiellt frigående lager, samtidigt som det möjliggör konstruktioner med låg sektionshöjd, ger låg friktion och tillåter presspassning a både ytter- och innerring. Med det nya lagret kombineras fördelarna hos cylindriska- och sfäriska lager samt nållager. Det nya lagret uppges tillåta 10 ggr större snedställning än ett cylindriskt, koniskt eller nållager. 100 ggr större axiell förskjutning än ett sfäriskt rullager och upp till 30 % större last än det kraftigaste konventionella rullager som hittills konstruerats. ",1995,34
10307001,CARB,SKF ; SKF ; 9839002,"Compact Aligning Roller Bearing. Helt nytt kyllager som tillåter snedställning, avsevärda axiella förskjutningar och kan ta upp stora radiella laster. Lagret är skyddat av flera patent. Lagret fungerar som ett axiellt frigående lager, samtidigt som det möjliggör konstruktioner med låg sektionshöjd, ger låg friktion och tillåter presspassning a både ytter- och innerring. Med det nya lagret kombineras fördelarna hos cylindriska- och sfäriska lager samt nållager. Det nya lagret uppges tillåta 10 ggr större snedställning än ett cylindriskt, koniskt eller nållager. 100 ggr större axiell förskjutning än ett sfäriskt rullager och upp till 30 % större last än det kraftigaste konventionella rullager som hittills konstruerats. ",1995,35
10349001,,Elfa ; Elfa ; 9351002,Wellpappkartong för omhändertagandet av uttjänt elektronik.,1998,-100
10349001,,Elfa ; Elfa ; 9351002,Wellpappkartong för omhändertagandet av uttjänt elektronik.,1998,-101
10349001,,Elfa ; Elfa ; 9351002,Wellpappkartong för omhändertagandet av uttjänt elektronik.,1998,37
10374001,Hydropulsor,Hydropulsor AB ; Hydropulsor ; 10194002,"Maskin för kapning av tråd, stål, profiler och rör genom adiabatisk mjukgöring.  Slagkolven drivs hydrauliskt med en hastighet mellan fem och tio meter per sekund. Precis i träffögonblicket bromsas cylindern upp. Rörelseenergin överförs till arbetsstycket och under bråkdelen av en sekund bildas lokalt så höga temperaturer att materialet beter sig som halvflytande. Maskinen består av fyra funktionsmoduler; slagenhet, verktygshus, dämpare och matningsenhet. ",1999,27
10374001,Hydropulsor,Hydropulsor AB ; Hydropulsor ; 10194002,"Maskin för kapning av tråd, stål, profiler och rör genom adiabatisk mjukgöring.  Slagkolven drivs hydrauliskt med en hastighet mellan fem och tio meter per sekund. Precis i träffögonblicket bromsas cylindern upp. Rörelseenergin överförs till arbetsstycket och under bråkdelen av en sekund bildas lokalt så höga temperaturer att materialet beter sig som halvflytande. Maskinen består av fyra funktionsmoduler; slagenhet, verktygshus, dämpare och matningsenhet. ",1999,28
10374001,Hydropulsor,Hydropulsor AB ; Hydropulsor ; 10194002,"Maskin för kapning av tråd, stål, profiler och rör genom adiabatisk mjukgöring.  Slagkolven drivs hydrauliskt med en hastighet mellan fem och tio meter per sekund. Precis i träffögonblicket bromsas cylindern upp. Rörelseenergin överförs till arbetsstycket och under bråkdelen av en sekund bildas lokalt så höga temperaturer att materialet beter sig som halvflytande. Maskinen består av fyra funktionsmoduler; slagenhet, verktygshus, dämpare och matningsenhet. ",1999,29
10390001,Aqua Barrier,Geodesign AB ; Geodesign ; 9392002,"Vattenvall byggd av lastpallar, presenningar och ett pallstöd, baserad på patenterad teknik. Tekniken berstår av ett pallstöd av stålplåt som går att fällas ihop. Ett särskilt hörnelement av trä, som används vid skarpa krökar, ingår också. Liksom en tätningsrem, och en särskild typ av långsmal sandsäck som läggs på marken, ovanpå presenningen, för att vattnet inte ska tränga in underifrån. Inga skruvar eller sprintar behövs. Men en speciell klämma fäster presenningen runt lastpallen på ovansidan.",2000,-100
10390001,Aqua Barrier,Geodesign AB ; Geodesign ; 9392002,"Vattenvall byggd av lastpallar, presenningar och ett pallstöd, baserad på patenterad teknik. Tekniken berstår av ett pallstöd av stålplåt som går att fällas ihop. Ett särskilt hörnelement av trä, som används vid skarpa krökar, ingår också. Liksom en tätningsrem, och en särskild typ av långsmal sandsäck som läggs på marken, ovanpå presenningen, för att vattnet inte ska tränga in underifrån. Inga skruvar eller sprintar behövs. Men en speciell klämma fäster presenningen runt lastpallen på ovansidan.",2000,75250
10391001,Comtac,Peltor AB ; Peltor ; 10058002,Ljudberoende hörselskydd som särskiljer ofarliga och skadliga ljud. Ljudet av t.ex. samtal förstärks medan farligt buller dämpas. ,2000,-100
10391001,Comtac,Peltor AB ; Peltor ; 10058002,Ljudberoende hörselskydd som särskiljer ofarliga och skadliga ljud. Ljudet av t.ex. samtal förstärks medan farligt buller dämpas. ,2000,-101
10396001,Super Turbo,Seco Tools AB ; Seco Tools ; 9665002,"Skär för fräsar. Skären låses fast med kraftiga skruvar, vilket enligt Seco Tools ger prestanda som tidigare bara funnits hos större skär. Super Turbo har helhärdade fräskroppar och uppges ha tystare bearbetning.",2000,36
10397001,Volvo On Call,Volvo Personvagnar ; Volvo Personvagnar ; 9897002,"Telematiksystem; ett hjälpmedel som baseras på befintliga kommunikationssystem. I första hand är det avsett att öka säkerheten och förebygga skadeverkningar vid olyckor. På sikt kan systemet även användas för akutell information, t ex väderleksrapporter. Tekniken har sitt ursprung i det Multiplex-system som Volvo introducerade 1998. Det traditionella elsystemet, med ett omfattande kablage, har ersatts av ett antal datorer. De är sammankopplade i ett digitalt nätverk för reglering och övervakning av såväl motorstyrning, avgasrening och chassisystem som krockkuddar och övriga elektriska apparater och utrustningar. VOC har två huvudkomponenter, en integrerad mobiltelefon som är kombinerad med en GPS-navigator. Med denna fastställs bilens position, medan telefonen sköter kommunikationerna med omvärlden. Vid en olycka aktiveras systemet automatiskt om krockkuddar och/eller bältesförsträckare löses ut. Telefonen ringer upp VOC-centret och med ett inprogrammerat textmeddelande rapporteras att en olycka inträffat. ",2000,34100
10408001,Flat Pack,Boxmodul AB ; Boxmodul ; 10266002,Lättviktshus.,2001,62
10420001,SKF Windcon System,SKF ; SKF ; 9839002,"Direktanslutet övervakningssystem för vindmarknaden. Windcon System ger kontinuerlig och komplett information om de mekaniska förhållandena i en vindpark. Det gör det möjligt att avslöja de mindre problem som kan uppträda, och planera in förebyggande underhåll innan de leder till större haverier. ",2002,40110
10453001,,DOF Engineering ; DOF Engineering ; 9455002,"Borr med ny, avancerad geometri.",2004,36
10466001,Nord-Lock,Nord-Lock AB ; Nord-Lock ; 9468002,Bricka för låsning av skruvförband. ,1982,36
10513001,,ASJ-Parca ; ASJ-Parca ; 9515002,"System för biologisk avloppsrening. Huvuddelen består av en s.k. biologisk kontaktrotor, som utgörs av en skivformad spiral placerad inuti en liggande cylinder genom vilken avloppsvattnet får passera. Hela utrustningen är monterar i en behållare av glasfiberarmerad plast. Avloppsreningsverk vars konstruktion bygger på en patentsökt uppfinning gjord av Sigvard nordgård. Huvuddelen utgörs av en biologisk kontaktrotor genom vilken avloppsvattnet får passera. Genomen speciell ytbehandlingsmetod har man kunnat flerdubbla den effektiva kontaktytan mellan mikrorganismerna och avloppsvattnet.",1970,-101
10513001,,ASJ-Parca ; ASJ-Parca ; 9515002,"System för biologisk avloppsrening. Huvuddelen består av en s.k. biologisk kontaktrotor, som utgörs av en skivformad spiral placerad inuti en liggande cylinder genom vilken avloppsvattnet får passera. Hela utrustningen är monterar i en behållare av glasfiberarmerad plast. Avloppsreningsverk vars konstruktion bygger på en patentsökt uppfinning gjord av Sigvard nordgård. Huvuddelen utgörs av en biologisk kontaktrotor genom vilken avloppsvattnet får passera. Genomen speciell ytbehandlingsmetod har man kunnat flerdubbla den effektiva kontaktytan mellan mikrorganismerna och avloppsvattnet.",1970,90010
10524001,Primosystemet,AB Bröderna Ottoson & Co ; Bröderna Ottosson & Co ; 8815002,Reningsverk för kemisk och biologisk rening som bygger på moduler.,1972,-101
10526001,,Parca Norrhammar AB ; Parca Norrahammar ; 5893002,Flytande biologiskt reningsverk som är avsett för bebyggelse som av praktiska skäl är svår att ansluta till det stora kommunala va-nätet. ,1972,-101
10544001,Retherm-A,AB Atomenergi ; Atomenergi ; 9961002,Värmeväxlare i plast som möjliggör värmeåtervinning även i mycket korrosiva miljöer. Värmeväxlaren består av ett antal oflänsade rörslingor infästade till två större fördelningsrör - ett i vardera änden av rörslingorna. ,1977,20
10544001,Retherm-A,AB Atomenergi ; Atomenergi ; 9961002,Värmeväxlare i plast som möjliggör värmeåtervinning även i mycket korrosiva miljöer. Värmeväxlaren består av ett antal oflänsade rörslingor infästade till två större fördelningsrör - ett i vardera änden av rörslingorna. ,1977,21
10564001,Biomatic Komplett,Edifo Industrikonsult AB ; Edifo Industrikonsult ; 9566002,"Varmluftsanläggning för eldning med flis, sågspån och torv, i första hand avsedd för spannmålstorkar, växthus, sågverk och industrier. Systeet är uppbyggt av två enheter, en varmluftspanna med automatiskt styrd förbränning samt en fastbränslebehållare (kallad Biomatic Komplett). Fastbränslebehållaren består i sin tur av bränslebehållare och en helautomatisk utmatningsanordning vilket minskar risken för att bränslet fastnar.",1980,-100
