sinno_id,bioeconomy_vision,year
7457001,Not Bioeconomy,1982
7458001,Bioresource Vision,1982
7459001,Bioresource Vision,1982
7460001,Not Bioeconomy,1983
7461001,Bioresource Vision,1983
7461001,Not Bioeconomy,1983
7461001,Unsure,1983
7463001,Bioresource Vision,1983
7465001,Bioresource Vision,1984
7466001,Bioresource Vision,1984
7467001,Not Bioeconomy,1983
7467001,Unsure,1983
7468001,Bioecology Vision,1984
7468001,Bioresource Vision,1984
7468001,Unsure,1984
7470001,Bioresource Vision,1984
7470001,Unsure,1984
7471001,Unsure,1984
7473001,Bioresource Vision,1985
7475001,Bioresource Vision,1986
7477001,Bioecology Vision,1986
7477001,Bioresource Vision,1986
7477001,Unsure,1986
7478001,Bioecology Vision,1986
7478001,Bioresource Vision,1986
7478001,Unsure,1986
7479001,Not Bioeconomy,1986
7482001,Unsure,1987
7484001,Bioresource Vision,1987
7485001,Not Bioeconomy,1988
7487001,Unsure,1988
7492001,Bioresource Vision,1990
7494001,Not Bioeconomy,1991
7497001,Not Bioeconomy,1991
7497001,Unsure,1991
7498001,Not Bioeconomy,1991
7503001,Not Bioeconomy,1992
7505001,Bioresource Vision,1992
7506001,Bioresource Vision,1993
7507001,Bioresource Vision,1993
7510001,Not Bioeconomy,1993
7511001,Bioresource Vision,1994
7512001,Not Bioeconomy,1994
7513001,Bioecology Vision,1994
7513001,Unsure,1994
7515001,Bioresource Vision,1995
7515001,Not Bioeconomy,1995
7515001,Unsure,1995
7517001,Bioresource Vision,1995
7518001,Bioresource Vision,1996
7520001,Not Bioeconomy,1997
7521001,Bioresource Vision,1995
7524001,Not Bioeconomy,1998
7526001,Bioresource Vision,1998
7527001,Bioresource Vision,1998
7528001,Bioresource Vision,1998
7529001,Bioresource Vision,1998
7530001,Bioresource Vision,1998
7531001,Bioresource Vision,1999
7532001,Bioresource Vision,1999
7535001,Bioecology Vision,2000
7535001,Bioresource Vision,2000
7536001,Not Bioeconomy,2000
7537001,Bioresource Vision,2001
7537001,Biotechnology Vision,2001
7538001,Bioresource Vision,2001
7539001,Not Bioeconomy,2001
7541001,Bioresource Vision,2003
7542001,Bioecology Vision,2003
7542001,Bioresource Vision,2003
7543001,Bioresource Vision,2003
7546001,Bioresource Vision,2004
7547001,Not Bioeconomy,2004
7548001,Bioresource Vision,2004
7550001,Bioresource Vision,2004
7551001,Bioresource Vision,2004
7552001,Bioresource Vision,2004
7552001,Unsure,2004
7554001,Not Bioeconomy,2005
7555001,Bioecology Vision,2005
7555001,Bioresource Vision,2005
7556001,Bioresource Vision,2000
7557001,Bioresource Vision,2005
7558001,Bioresource Vision,2005
7559001,Bioresource Vision,2006
7560001,Bioresource Vision,2005
7562001,Bioresource Vision,2005
7563001,Not Bioeconomy,2006
7564001,Bioresource Vision,2006
7565001,Bioresource Vision,2006
7566001,Bioresource Vision,2006
7567001,Not Bioeconomy,2006
7569001,Bioresource Vision,2007
7573001,Not Bioeconomy,2007
7574001,Not Bioeconomy,2006
7576001,Bioresource Vision,2007
7577001,Bioresource Vision,2005
7578001,Not Bioeconomy,2007
7579001,Not Bioeconomy,2007
7580001,Bioresource Vision,2007
7586001,Bioecology Vision,1970
7586001,Biotechnology Vision,1970
7591001,Bioecology Vision,1970
7591001,Biotechnology Vision,1970
7607001,Not Bioeconomy,1970
7613001,Not Bioeconomy,1970
7614001,Bioresource Vision,1970
7614001,Unsure,1970
7617001,Bioresource Vision,1971
7638001,Not Bioeconomy,1971
7642001,Bioecology Vision,1971
7642001,Bioresource Vision,1971
7650001,Bioresource Vision,1971
7651001,Not Bioeconomy,1971
7674001,Bioecology Vision,1971
7674001,Bioresource Vision,1971
7679001,Bioecology Vision,1972
7679001,Bioresource Vision,1972
7708001,Not Bioeconomy,1972
7714001,Bioresource Vision,1973
7718001,Not Bioeconomy,1972
7723001,Bioresource Vision,1973
7726001,Not Bioeconomy,1973
7735001,Not Bioeconomy,1974
7741001,Not Bioeconomy,1974
7751001,Not Bioeconomy,1975
7752001,Not Bioeconomy,1974
7758001,Bioresource Vision,1975
7764001,Bioresource Vision,1971
7769001,Not Bioeconomy,1975
7781001,Not Bioeconomy,1975
7782001,Not Bioeconomy,1975
7791001,Bioresource Vision,1977
7791001,Biotechnology Vision,1977
7797001,Not Bioeconomy,1976
7805001,Bioresource Vision,1976
7809001,Not Bioeconomy,1976
7817001,Not Bioeconomy,1976
7827001,Bioresource Vision,1976
7827001,Unsure,1976
7829001,Not Bioeconomy,1976
7833001,Not Bioeconomy,1973
7836001,Not Bioeconomy,1977
7845001,Bioresource Vision,1977
7846001,Not Bioeconomy,1977
7854001,Not Bioeconomy,1977
7861001,Bioecology Vision,1978
7861001,Bioresource Vision,1978
7862001,Bioresource Vision,1978
7878001,Not Bioeconomy,1978
7882001,Bioresource Vision,1978
7888001,Not Bioeconomy,1978
7890001,Not Bioeconomy,1978
7892001,Not Bioeconomy,1978
7899001,Bioresource Vision,1978
7904001,Bioresource Vision,1978
7908001,Not Bioeconomy,1978
7909001,Bioresource Vision,1978
7915001,Bioresource Vision,1979
7926001,Not Bioeconomy,1979
7932001,Bioresource Vision,1979
7947001,Not Bioeconomy,1975
7950001,Bioresource Vision,1980
7957001,Biotechnology Vision,1980
7962001,Not Bioeconomy,1979
7968001,Bioresource Vision,1980
7972001,Not Bioeconomy,1980
7986001,Bioecology Vision,1980
7986001,Bioresource Vision,1980
7998001,Not Bioeconomy,1980
8002001,Bioresource Vision,1980
8015001,Not Bioeconomy,1980
8020001,Bioresource Vision,1981
8023001,Not Bioeconomy,1981
8029001,Not Bioeconomy,1981
8065001,Bioecology Vision,1981
8082001,Bioresource Vision,1979
8085001,Not Bioeconomy,1981
8086001,Bioresource Vision,1981
8095001,Bioresource Vision,1982
8122001,Bioresource Vision,1982
8129001,Not Bioeconomy,1982
8135001,Not Bioeconomy,1982
8141001,Not Bioeconomy,1977
8146001,Not Bioeconomy,1987
8179001,Not Bioeconomy,1983
8181001,Bioresource Vision,1983
8186001,Bioresource Vision,1983
8193001,Not Bioeconomy,1983
8197001,Not Bioeconomy,1983
8207001,Not Bioeconomy,1983
8218001,Biotechnology Vision,1983
8232001,Not Bioeconomy,1984
8258001,Bioresource Vision,1984
8263001,Not Bioeconomy,1984
8265001,Not Bioeconomy,1984
8272001,Not Bioeconomy,1984
8309001,Bioresource Vision,1985
8310001,Bioresource Vision,1985
8311001,Not Bioeconomy,1985
8358001,Bioresource Vision,1987
8359001,Not Bioeconomy,1987
8379001,Bioresource Vision,1988
8381001,Not Bioeconomy,1983
8385001,Not Bioeconomy,1986
8394001,Not Bioeconomy,1988
8404001,Not Bioeconomy,1994
8405001,Not Bioeconomy,1988
8412001,Bioecology Vision,1989
8412001,Bioresource Vision,1989
8422001,Bioresource Vision,1989
8422001,Unsure,1989
8423001,Not Bioeconomy,1989
8448001,Bioresource Vision,2010
8459001,Not Bioeconomy,1989
8476001,Not Bioeconomy,1992
8499001,Not Bioeconomy,1993
8506001,Not Bioeconomy,1993
8524001,Not Bioeconomy,1994
8541001,Bioecology Vision,1994
8541001,Biotechnology Vision,1994
8546001,Bioecology Vision,1994
8546001,Bioresource Vision,1994
8569001,Not Bioeconomy,1990
8571001,Not Bioeconomy,1995
8577001,Not Bioeconomy,1996
8580001,Not Bioeconomy,1997
8592001,Not Bioeconomy,1996
8596001,Bioresource Vision,1996
8596001,Biotechnology Vision,1996
8619001,Bioresource Vision,1997
8622001,Bioresource Vision,1997
8644001,Not Bioeconomy,1997
8663001,Biotechnology Vision,1998
8666001,Bioecology Vision,1998
8666001,Bioresource Vision,1998
8666001,Biotechnology Vision,1998
8687001,Bioecology Vision,1998
8687001,Not Bioeconomy,1998
8697001,Not Bioeconomy,1998
8706001,Not Bioeconomy,1998
8741001,Not Bioeconomy,1999
8754001,Not Bioeconomy,2000
8758001,Bioresource Vision,1999
8785001,Not Bioeconomy,2001
8789001,Biotechnology Vision,1997
8790001,Not Bioeconomy,2005
8791001,Not Bioeconomy,2000
8799001,Not Bioeconomy,2000
8801001,Not Bioeconomy,2000
8804001,Not Bioeconomy,2000
8819001,Not Bioeconomy,1995
8823001,Not Bioeconomy,2000
8824001,Not Bioeconomy,2008
8832001,Not Bioeconomy,2000
8846001,Not Bioeconomy,2001
8876001,Bioecology Vision,1999
8876001,Bioresource Vision,1999
8876001,Biotechnology Vision,1999
8878001,Bioresource Vision,2002
8878001,Unsure,2002
8897001,Not Bioeconomy,2002
8914001,Not Bioeconomy,2002
8918001,Bioresource Vision,2008
8918001,Biotechnology Vision,2008
8956001,Bioresource Vision,2006
8963001,Not Bioeconomy,2003
8984001,Not Bioeconomy,2004
8986001,Bioecology Vision,2004
8986001,Bioresource Vision,2004
8989001,Not Bioeconomy,2004
9014001,Bioecology Vision,2005
9014001,Biotechnology Vision,2005
9034001,Not Bioeconomy,2005
9046001,Not Bioeconomy,2005
9055001,Not Bioeconomy,2005
9078001,Not Bioeconomy,2005
9089001,Bioresource Vision,2007
9106001,Bioecology Vision,2006
9106001,Bioresource Vision,2006
9123001,Bioresource Vision,2001
9126001,Not Bioeconomy,2008
9179001,Bioecology Vision,2007
9179001,Bioresource Vision,2007
9200001,Not Bioeconomy,2009
9226001,Not Bioeconomy,2007
9232001,Not Bioeconomy,2007
9237001,Not Bioeconomy,1970
9250001,Not Bioeconomy,1972
9266001,Not Bioeconomy,1976
9279001,Bioecology Vision,1978
9279001,Not Bioeconomy,1978
9296001,Not Bioeconomy,1981
9306001,Not Bioeconomy,1983
9312001,Not Bioeconomy,1984
9315001,Not Bioeconomy,1985
9363001,Not Bioeconomy,1995
9377001,Biotechnology Vision,1998
9398001,Bioecology Vision,2000
9398001,Biotechnology Vision,2000
9398001,Unsure,2000
9410001,Bioresource Vision,1970
9411001,Bioresource Vision,1970
9413001,Bioecology Vision,1971
9415001,Bioecology Vision,1971
9415001,Bioresource Vision,1971
9416001,Not Bioeconomy,1971
9417001,Not Bioeconomy,1972
9422001,Not Bioeconomy,1973
9424001,Not Bioeconomy,1974
9426001,Bioresource Vision,1975
9427001,Bioresource Vision,1975
9428001,Bioresource Vision,1976
9432001,Not Bioeconomy,1976
9440001,Bioresource Vision,1979
9443001,Bioresource Vision,1980
9444001,Bioresource Vision,1981
9448001,Bioresource Vision,1983
9451001,Bioresource Vision,1983
9453001,Bioresource Vision,1984
9454001,Bioresource Vision,1984
9455001,Not Bioeconomy,1984
9456001,Not Bioeconomy,1984
9458001,Not Bioeconomy,1984
9459001,Bioresource Vision,1984
9460001,Bioresource Vision,1985
9461001,Bioresource Vision,1985
9464001,Bioresource Vision,1986
9465001,Bioresource Vision,1987
9468001,Not Bioeconomy,1988
9470001,Not Bioeconomy,1988
9471001,Bioecology Vision,1985
9471001,Bioresource Vision,1985
9472001,Bioresource Vision,1988
9473001,Bioresource Vision,1988
9475001,Not Bioeconomy,1989
9476001,Bioresource Vision,1989
9477001,Bioresource Vision,1990
9478001,Bioresource Vision,1990
9479001,Bioresource Vision,1990
9481001,Bioresource Vision,1990
9482001,Bioresource Vision,1991
9483001,Bioresource Vision,1991
9485001,Not Bioeconomy,1992
9490001,Bioresource Vision,1982
9492001,Bioecology Vision,1988
9492001,Bioresource Vision,1988
9493001,Bioresource Vision,1993
9494001,Bioresource Vision,1993
9497001,Bioecology Vision,1993
9497001,Bioresource Vision,1993
9499001,Not Bioeconomy,1994
9500001,Not Bioeconomy,1994
9501001,Bioresource Vision,1994
9502001,Bioresource Vision,1994
9506001,Bioresource Vision,1995
9507001,Bioresource Vision,1993
9508001,Bioecology Vision,1995
9508001,Bioresource Vision,1995
9509001,Bioresource Vision,1995
9510001,Bioresource Vision,1992
9513001,Not Bioeconomy,1997
9514001,Bioresource Vision,1997
9516001,Bioresource Vision,1998
9518001,Bioecology Vision,1998
9518001,Bioresource Vision,1998
9519001,Bioresource Vision,1998
9520001,Bioresource Vision,1998
9521001,Bioresource Vision,1997
9526001,Bioresource Vision,1998
9526001,Biotechnology Vision,1998
9527001,Not Bioeconomy,2000
9528001,Bioresource Vision,2002
9530001,Bioresource Vision,1992
9530001,Biotechnology Vision,1992
9531001,Bioecology Vision,2003
9531001,Bioresource Vision,2003
9531001,Biotechnology Vision,2003
9534001,Bioresource Vision,2004
9535001,Bioecology Vision,1971
9535001,Unsure,1971
9536001,Bioresource Vision,1977
9537001,Bioresource Vision,2004
9538001,Not Bioeconomy,2004
9540001,Not Bioeconomy,2004
9541001,Not Bioeconomy,2005
9542001,Bioresource Vision,2005
9543001,Bioresource Vision,2003
9544001,Bioresource Vision,2006
9545001,Bioresource Vision,2006
9546001,Bioresource Vision,2003
9547001,Bioecology Vision,2006
9547001,Bioresource Vision,2006
9547001,Biotechnology Vision,2006
9549001,Bioresource Vision,2007
9550001,Bioecology Vision,2007
9550001,Bioresource Vision,2007
9551001,Bioresource Vision,2007
9554001,Not Bioeconomy,1983
9556001,Not Bioeconomy,1971
9562001,Not Bioeconomy,1971
9574001,Not Bioeconomy,1978
9598001,Not Bioeconomy,1994
9600001,Not Bioeconomy,1995
9608001,Not Bioeconomy,1999
9708001,Bioresource Vision,1978
9722001,Not Bioeconomy,1970
9732001,Not Bioeconomy,1971
9740001,Not Bioeconomy,1970
9753001,Not Bioeconomy,1971
9765001,Not Bioeconomy,1972
9772001,Bioresource Vision,1973
9798001,Not Bioeconomy,1976
9832001,Not Bioeconomy,1980
9875001,Not Bioeconomy,1994
9883001,Not Bioeconomy,1995
9887001,Bioecology Vision,1996
9887001,Bioresource Vision,1996
9890001,Bioresource Vision,1998
9897001,Not Bioeconomy,2000
9925001,Bioecology Vision,2004
9925001,Not Bioeconomy,2004
9928001,Not Bioeconomy,2004
9938001,Not Bioeconomy,2004
9971001,Not Bioeconomy,1971
9977001,Not Bioeconomy,1971
9979001,Not Bioeconomy,1970
9989001,Not Bioeconomy,1972
9992001,Bioresource Vision,1972
10019001,Bioresource Vision,1974
10025001,Not Bioeconomy,1975
10030001,Not Bioeconomy,1975
10042001,Bioecology Vision,1976
10052001,Not Bioeconomy,1976
10123001,Not Bioeconomy,1978
10124001,Not Bioeconomy,1978
10128001,Not Bioeconomy,1978
10137001,Bioecology Vision,1979
10137001,Not Bioeconomy,1979
10145001,Bioecology Vision,1979
10145001,Bioresource Vision,1979
10148001,Not Bioeconomy,1979
10153001,Not Bioeconomy,1979
10187001,Not Bioeconomy,1981
10190001,Not Bioeconomy,1982
10214001,Not Bioeconomy,1983
10223001,Not Bioeconomy,1984
10224001,Not Bioeconomy,1984
10232001,Not Bioeconomy,1985
10280001,Bioecology Vision,1989
10280001,Not Bioeconomy,1989
10294001,Not Bioeconomy,1992
10307001,Bioresource Vision,1995
10349001,Bioecology Vision,1998
10349001,Bioresource Vision,1998
10374001,Not Bioeconomy,1999
10390001,Not Bioeconomy,2000
10391001,Not Bioeconomy,2000
10396001,Not Bioeconomy,2000
10397001,Not Bioeconomy,2000
10408001,Not Bioeconomy,2001
10420001,Not Bioeconomy,2002
10453001,Not Bioeconomy,2004
10466001,Not Bioeconomy,1982
10513001,Bioecology Vision,1970
10513001,Biotechnology Vision,1970
10524001,Bioecology Vision,1972
10524001,Biotechnology Vision,1972
10526001,Bioecology Vision,1972
10526001,Biotechnology Vision,1972
10544001,Not Bioeconomy,1977
10564001,Bioresource Vision,1980
10574001,Not Bioeconomy,1982
10598001,Not Bioeconomy,1985
10613001,Not Bioeconomy,1984
10621001,Bioresource Vision,1987
10629001,Bioecology Vision,1990
10629001,Biotechnology Vision,1990
10630001,Bioecology Vision,1991
10630001,Bioresource Vision,1991
10642001,Not Bioeconomy,2000
10643001,Bioecology Vision,2000
10643001,Biotechnology Vision,2000
10660001,Not Bioeconomy,1978
10667001,Not Bioeconomy,1983
10669001,Bioecology Vision,1986
10669001,Not Bioeconomy,1986
10680001,Not Bioeconomy,1998
10681001,Bioecology Vision,1977
10681001,Not Bioeconomy,1977
10682001,Not Bioeconomy,1977
10701001,Not Bioeconomy,1998
10703001,Not Bioeconomy,1970
10925001,Bioecology Vision,2011
10927001,Bioresource Vision,2010
10950001,Not Bioeconomy,2010
10974001,Bioecology Vision,2015
11098001,Not Bioeconomy,2010
11106001,Biotechnology Vision,2008
11142001,Bioresource Vision,2013
11142001,Biotechnology Vision,2013
11307001,Not Bioeconomy,2009
11399001,Bioecology Vision,2010
11468001,Not Bioeconomy,2013
11543001,Not Bioeconomy,2008
11546001,Bioecology Vision,2014
11559001,Not Bioeconomy,2012
11568001,Not Bioeconomy,2011
11581001,Not Bioeconomy,2013
11617001,Not Bioeconomy,2008
11655001,Not Bioeconomy,2009
11676001,Bioresource Vision,2009
11676001,Biotechnology Vision,2009
11699001,Biotechnology Vision,2009
11722001,Bioecology Vision,2013
11730001,Not Bioeconomy,2013
11745001,Bioecology Vision,2007
11750001,Bioresource Vision,2009
11937001,Not Bioeconomy,2012
11997001,Biotechnology Vision,2010
12020001,Bioecology Vision,2010
12070001,Not Bioeconomy,2010
12079001,Not Bioeconomy,2010
12134001,Not Bioeconomy,2011
12151001,Not Bioeconomy,2011
12221001,Bioecology Vision,2013
12221001,Not Bioeconomy,2013
12228001,Not Bioeconomy,2013
12322001,Bioecology Vision,2015
12335001,Bioecology Vision,2012
12335001,Bioresource Vision,2012
12367001,Bioecology Vision,2011
12367001,Not Bioeconomy,2011
12393001,Not Bioeconomy,2013
12416001,Not Bioeconomy,2013
12424001,Bioecology Vision,2013
12430001,Bioresource Vision,2009
12463001,Not Bioeconomy,2013
12466001,Not Bioeconomy,2009
12518001,Not Bioeconomy,2008
12565001,Not Bioeconomy,2008
12576001,Bioecology Vision,2014
12576001,Not Bioeconomy,2014
12639001,Bioecology Vision,2012
12784001,Not Bioeconomy,2011
12801001,Not Bioeconomy,2012
12927001,Bioecology Vision,2009
12946001,Bioecology Vision,2000
12946001,Bioresource Vision,2000
13013001,Bioecology Vision,2007
13013001,Bioresource Vision,2007
13013001,Unsure,2007
13014001,Not Bioeconomy,2007
13041001,Not Bioeconomy,2014
13069001,Bioecology Vision,2019
13202001,Not Bioeconomy,2016
13223001,Not Bioeconomy,2016
13291001,Bioresource Vision,1998
13303001,Bioecology Vision,2020
13313001,Not Bioeconomy,2016
13355001,Not Bioeconomy,2015
13357001,Not Bioeconomy,2015
13367001,Not Bioeconomy,2012
13373001,Bioecology Vision,2016
13410001,Not Bioeconomy,2016
13415001,Not Bioeconomy,2016
13518001,Not Bioeconomy,2017
13528001,Not Bioeconomy,2017
13557001,Not Bioeconomy,2011
13633001,Not Bioeconomy,2017
13705001,Not Bioeconomy,2017
13706001,Not Bioeconomy,2017
13746001,Bioresource Vision,2018
13748001,Bioecology Vision,2021
13748001,Bioresource Vision,2021
13780001,Bioecology Vision,2018
13780001,Bioresource Vision,2018
13791001,Bioecology Vision,2017
13791001,Bioresource Vision,2017
13795001,Not Bioeconomy,2018
13834001,Not Bioeconomy,2018
13853001,Not Bioeconomy,2018
13885001,Not Bioeconomy,2019
13890001,Bioecology Vision,2020
13890001,Bioresource Vision,2020
13925001,Not Bioeconomy,2019
13942001,Biotechnology Vision,2019
13981001,Not Bioeconomy,2019
13997001,Not Bioeconomy,2019
14003001,Bioecology Vision,2021
14576001,Not Bioeconomy,2019
14612001,Not Bioeconomy,2019
14617001,Not Bioeconomy,2016
16067001,Bioresource Vision,2020
16067001,Unsure,2020
16155001,Not Bioeconomy,2021
16197001,Bioresource Vision,2021
16230001,Bioecology Vision,2021
16239001,Bioecology Vision,2020
16243001,Not Bioeconomy,2021
16266001,Not Bioeconomy,2021
16276001,Bioresource Vision,2019
16373001,Bioecology Vision,2021
