sinno_id,name,description,info,year,use_sector,bioeconomy_vision,innovation_type,article_checked,notes,
6116001,Econobox,"Sprutbox som möjliggör värmeåtervinninge. En av grundtankarna med Econobox ligger i att begränsa kontakttiden luft/vatten till ett minimum och därigenom undvika att frånluften kyls ned under den tid målningsarbete inte pågår -normalt 70-80 % av den totala drifttiden. Detta kan arrangeras på olika sätt. I det enklaste fallet stoppas helt enkelt vattenridån automatiskt då sprutpistolen stängs av. Med system Econobox arbetar sprutboxen ""vått"" bara under den krota tid då sprutarbete pågår och med maximal värmeåtervining resten av tiden. ",,1980,361,9,203,1,,
6125001,GHP 2000,Pallinslagare för helautomatisk förpackningslinje. Pallinslagaren läser av pallhöjden och der en impuls till huvpåträdaren hur stor huv som krävs för emballeringen. Den unika påträdaren gör att tunnare film kan användas. ,,1981,-100,9,"103,204",1,,
6130001,Opus Centraldämpare,"Ljuddämpare för tryckluftsventiler. Industrins mekanisering är i hög grad uppbyggd med hjälp av oneumatiska system. Luftcylindern, den moderna tidens muskel, uträttar arbete inom snart sagt alla områden. Den är alltid kopplad till en mekanisk, elektriskt eller pneumatiskt styrd ventil.  Med ventilen bildas ingen oljedimma, ventilerna tätnar ej (ger ingen effektförlust) och dämpningen är effektiv, problem som alla hittills varit mer eller mindre svårlösta. ",,1982,29,9,"501,213",1,,
6133001,Novatune,"Processreglersystem som bygger på självinställande och adaptiva regulatorer. Enheten grundar sig på världsledande forskning som bedrivitis i Lund. Det mikrodatorbaserade systemet innehåller modernt byggd standardråvara och programmeras på plats genom dialog via en handterminal i form av en liten knappdosa, till den ringa del programmen inte är inbyggda i systemet. Systemets fördelar för användaren ligger främst i väsentligt minskade igångkörningstider samtidigt som man slipper efterjusteringar under drift. Självinställande reglering inenbär att systemet under pågående reglering skaffar sig en allt noggrannare modell av processen. Med utvecklingen av detta universellt användbara självinställande reglersystem har man skafft sig flera års försprång framför forskninge, som bedrivs på åtskilliga håll i världen. Innovationen är utvecklad av en ny enhet för forskning och innovation på Asea. Första verkligt adaptiva systemet.",,1982,21,9,"601,602",1,,
6141001,InfraPaint,"Totalsystem för auktoriserad billackering. Systemet kännetecknas av hög kvalitet, rationell hantering och förbättrad miljö. Bakgrunden till satsningen på billackering är de negativa erfarenheter branshcen gjorde i mitten av 70-talet. Miljökraven hade forserat fram nya lackeringsmetoder och Volvo drabbades liksom de flesta biltillverkare av kvalitetsproblem. Man insåg att branschen behövde effektiviseras med ett totalt grepp om kvalitet och ekonomi. Stor omsorg har lagts ned för att skapa en ren, dammfri arbetsmiljö med förbättrad ventilation, konstant temperatur och god belysning. Vidare har gjorts stora ansträngningar för att förbättra ergonomin och anpassa arbetet till kroppens naturliga rörelser. Flera av de tekniska lösningarna och idéerna är var för sig väl beprövade men att de utnyttjas tillsammans är något nytt. ",,1982,285,9,203,1,not forest,
6156001,,"Induktiv sensor. Den induktiva sensorn representerar ett stort teknologiskt framsteg vid avkänning av metalliska material, och den håller på att snabbt konkurrera ut det gamla mekaniska gränsläget med alla dess nackdelar vad gäller förslitning och drkiftsäkerhet. Den induktiva sensorn ger en livslängd, precision och tillförlitlighet som vida överträffar det mekaniska gränsläget. ",,1983,-100,9,602,1,not forest,
6160001,,Ny serie instrument för flöde och dosering uppbyggt kring en mikroprocessor. Serien består av elektroniska mottagare monterade i ett hus av rostfritt stål med dörr som förhindrar att fukt och vatten tränger in till manöverorgan.  Doseringsenheten är lämplig för upptappning av förinställbar volym. De elektroniska mottagarna är monterade i ett hus av rostfritt stål med dörr som förhindrar att fukt och vatten tränger in till manöverorgan. ,,1983,-100,9,9,1,not forest,
6182001,OPTION Q,"Bildbehandlingsteknologi med kompletterande mjukvara för kvalitetsbestämning inom sågverksindustrin. Kvalitetsbestämning görs genom en optisk avbildning i gråskala av virkesbiten. Bildbehandlingselektroniken arbetar parallellt med en preprocessor som bestämmer brädans tjocklek, geometriska form och biologiska kvalitet. För varje mätcykel eller 4 mm:s förflyttning av brädan i tvärled, levereras från kamerorna sammanlagt cirka 1800 bildelement motsvarande en ca 6 meter lång och 4 mm bred ""remsa"" av brädan.",,1984,20101,2,"601,602,103",1,,
6188001,AL 81,Elektroniskt tidregisteringssystem som förenklar redovisning av arbetstid och löneuträkning.,,1984,-100,9,9,1,not forest,
6191001,,"Plockautomat för torkvagnar (inom träindustrin) som hämtar godset från transportbanan och påbörjar inplockningen i torkvagnens översta fack, varefter dess armar återgår den kortaste vägen. ",,1985,20,9,501,1,,
6194001,Dendro 4000,"Datoriserad kantautomat för sågverk, som har hög kapacitet. En elevator och en tävtransportör med en inbyggd vändare åstadkommer att den inkommande brädan trots maskines höga kapacitet passerar med måttlig hastighet på tvären under mätrampen. Detta ger ett jämnt flöde och noggrann mätning och optimering.",,1985,20101,,,2,404,
6203001,,Dimensionsmätsystem där kombinationen av beröringsfria mtgivare och en kraftfull mätdator gör att man kan lösa en mängd dimensionsmätuppgifter i storserieproduktion på ett tillförlitligt sätt. Mätgivarna är robust upbyggda och arbetar från några millimeters mätområde till 200 mm. Givarna är anslutna till en mätdator som även ger strömmatning i de fall givarna inte har eget späningsaggregat. Mätdatorn är utformad för att tåla dålig industrimiljö och placeras i närheten av givarna. Mätdatorn utgörs av en speciellt framtagen hårdvara som är baserad på en kraftfull mikroprocessor. I systemet finns ett realtids operativsystem som gör att samtidig behandling av alla givarsignaler kan ske liksom bearbetning och presentation av mätresusltaten.,,1986,20,9,602,1,,
6204001,LEECH2-C,"Tjockleksmätare för tunna material på löpande bana. Mätaren fungerar enligt en dubbelsidig beriöringslös metod med båda huvudena rörliga och följande pappersbanans rörelser. Den undre mätspetsen är utrustad med en givare som mäter avståndet till referensplattan, monterad i den övre mätspetsen. Positionenringen av mätspetsarna sker med luft.",,1986,21,9,602,1,,
6231001,SGVS (Self Guided Vehicles),"Anläggning för laserstyrning av autotruckar som möjliggör att autotruckar tar sig fram utan styrslingor i golvet. Den nya navigeringen sker genom att vagnarna utrustas med ett roterande laserhuvud. I en spegel sveper en laserstråle. När ljusstrålen reflekteras avläser en sensor i laserhuvudet reflexens riktning. Lasernavigatorn som truckarna bygger på består av en vinkelmätare, en laser och en beräkningsdator.",,1990,211,9,"601,602,501",1,,
6249001,SSA-5000,"Analysatorinstrument för mätning och karaktärisering av fibrer och partiklar. Instrumentet bygger på en patenterad mätprincip som varken påverkas av förändringar i mediets färg eller ljushet. Instrumentet påverkas inte av variationer i partikelstorlek och fyllmedel. Retentionsmätning har utförts länge. Det nya med innovationen är dels signalanalysen och dels mätsondens utformning. Ljusstrålens diamter är endast 0,6 mm och mätgapet endast 15 mm. Det händer ofta att strålen inte träffar någon fiber. Transmissionens styrka bestäms då av koncentrationens finfraktion, som har visar sig vara rätt konstant vid varierande fiberkoncentration. ",,1991,-100,9,"602,601",1,not forest,
6252001,Sym-Belt S,"Skopressmaskin för pappersindustrin som med hög kapacitet ger ett optimalt tryck över pappersbanan oavsett maskinens bredd. Maskinen innehåller nya tekniska detaljer, bl.a. en upp- och nedvänd trycksko som möjliggör pressning av papperets trycksida mot en slät vals och ger en förbättrad tryckbarhet. ",,1991,21211,2,203,1,,
6290001,,"Cylinder som återanvänder tryckluften och vinner energi. När kolven i cylindern flyttas framåt släpps tryckluft in i cylindern genom en ventil. Därmed bildas ett övertryck bakom kolven och den rör sig framåt. Den stora skillnaden gentemot andra cylindrar inträder när kolven ska tillbaka igen. Då hämtas ingen tryckluft från yttre ledningar. Istället öppnas kanaler i cylinderns mantel mellan den bakre och främre delen. Trycket jämnas ut och kolven rör sig mot mitten.  Enkel/dubbelverkande cylinder med inbyggt sparsystem som sparar luft och energi vid upprepade fram- och återgående rörelser. Hemligheten är ett antal längsgående kanaler i kolvven, där luft (eller annat) kan transporteras. På så sätt kan samma luft användas för både fram- och återgående rörelser och det räcker med en luftslang. Det hela styrs av en invändig ventil som slussar luften i kanalerna så att samma luft kan användas två gånger. Cylindern är den ena av tre som kommer ifrån samma ursprungsuppfinning. ",,1996,-100,9,"203,213,501",1,not forest,
6297001,,"Pneumatisk cylinder av plast. Plasten ger tystare, lättare och billigare pneumatik. ",,1993,36,9,9,1,not forest,
6301001,,Hydraulisk slirkoppling. Ungefär en fjärdeldel av all elektricitet i processindustrin förbrukas av pumpar och fläktar. Nu finns en svensk metod att använda hydraulik för att styra pumpens varvtal. Utrustningen består av en slirkoppling mellan motorn och pumpen. ,,1997,21,9,213,1,,
6302001,LMS 200,"Laserskanner som sveper av omgivningen med hjälp av en laserstråle. Skannern kan registrera former, läge och orientering, räkna antal oavsett om det är bilar eller kartonger, mäta volymen i taknar med fasta material som samlar sig i högar och flödet på band eller i kanaler. ",,1998,31,9,9,1,not forest,
6329001,,"Automationslösning för processanläggningar. Systemet ska ha funktioner för inköp, leverantörshantering och för spårbarhet. Det ska dessutom vara anpassat efterkraven på flexibilitet inom industrin för livsmedel.",,2002,21129,9,9,1,not forest,
6349001,,Identifieringssystem för lastbärare som bygger på en patenterad teknik kallad Radio Frequency Identification (RFID). Systemet består av små brickor som sänder ut fotoner när det träffas av infrarött ljus.   I läsaren sitter ett chip som tar emot ljussignalen. Läsaren kan även skicka nya data till brickorna.,,2006,-100,9,602,1,not forest,
6360001,Multi Compact Coating,Sprutlackeringssystem som arbetar med ett betydligt lägre tryck än andra system och som dessutom anpassar trycket så det blir exakt riktigt i varje ögonblick. ,,2006,36,9,103,1,not forest,
6387001,,"Bildskärmsterminal som är avsedd för användning i svåra arbetsmiljöer, t ex i stålverk, pappersbruk och lagerlokaler. Terminalen består av en bildskärm som rymmer sex rader med vardera 40 tecken.",,1972,-100,9,9,1,,
6392001,,"Kompakt elektroniska kassaregister. Registret har bl a automatisk växeluträkning, två expediträkneverk, deklarerad total, automatisk avläsning och nollställning av räkneverken, automatisk annullering av felinslagna poster, tre års batteriskydd av räkneverken, möjligheter att komplettera med kunddator, myntgivare, läspenna för opiska etiketter, datainsamlingsenhet m.m. ",,1975,51,9,9,1,not forest,
6397001,Aton,"Fordonsmonterat vågsystem som kan användas på alla typer av fordon, inklusive släp. Det är framförallt givaren i Aton-systemet som ger det dess unika egenskaper. Hjärtat i givaren är ett S-format stålband, som exciteras elektriskt och vars svängningsfrekvens är beroende av den belastning (sträckning) bandet är utsatt för. Det finns tecken på att myndigheterna inom en relativt nära framtid kommer att kräva inbyggda lastindikatorer i lastfordon.  uppbyggt kring patenterad givarkonstruktion där en rak förspänd sträng ersatts med ett S-format stålband som eliminerar riskerna för 'mekanisk krypning i bandets infästningssida. Fordonsmonterat vågsystem som kan användas på alla typer av fordon, inklusive släp. Det är framförallt givaren i Aton-systemet som ger det dess unika egenskaper. Hjärtat i givaren är ett S-format stålband, som exciteras elektriskt och vars svängningsfrekvens är beroende av den belastning (sträckning) bandet är utsatt för. Det finns tecken på att myndigheterna inom en relativt nära framtid kommer att kräva inbyggda lastindikatorer i lastfordon. ",,1976,34,9,"501,602",1,,
6400001,,"Autopilot för styrning av fartyg  på såväl rak kurs som under gir. Silja Lines fartyg Wllamo är ett av dem som är utrustat med den nya autopiloten. Allmänt sett konstrueras fartyg med tanke på bl a stabiliteten vid styrningen. Man kan göra fartyg mycket kursstabilt men det blir d trögt att styra och får dålig manövrerbarhet. Man kan å andra sidan konstruera fartyget så att det blir näst intill styrinstabilt. Man kan då lättare svänga, men det är då risk för att man får översvängar och om rorsman gör en för stor roderrörelse får han hålla på ett bra tag med att dämpa svängningen kring kursen. Dessa svängningsdämpande roderutslag omsätter energi med dålig styrekonomi som följd. Om ett sådant här svängningsförlopp skulle råka inträffa under gång i en farled i skärgården kan det dessutom resultera i säkerhetsrisker. De autopiloter som används idag hjälper endast till att hålla fartygen på räta kurser. Vad man länge önskat sig är en autopilot med vilken man också kan utföra girar. Problemet har varit att man saknat en känslig, robust och tillförlitlig givare medn vilken man kan mäta den hastighet med vilken fartyget utför en gir. Problemet är att fartyget girar så långsamt så att det är svårt att skaffa sig en mot girhastigheten analog signal. Kärnan i det nya autopilotsystemet är en girhastighetsmätare. ",,1975,351,9,501,1,not forest,
6404001,Densicon,Mätare avsedd för mätning och reglering av TS-halten i svartlut. Parametrar som är avgörande för en ekonomisk och miljövänlig förbränning i sodapannan. Densicon mäter under de besvärligaste förhållanden med stor noggrannhet inom svartlutens hela densitetsområde. ,,1976,24,9,602,1,,
6432001,Atcas 2 (Air traffic control automated system),Databehandlings- och presentationsutrustning som får information från radarstationer. Systemet beräknar flygtider och presenterar dem på bildskärmar och på tryckta pappersremsor.,,1983,63230,9,"602,501",1,not forest,
6544001,Carabas,"Bildalstrande flygradar. Radarn kan tränga igenom vegetation och se upp till tio meter under markytan. Radarn kan också ge ett entydigt mätvärde i varje enskild mätpunkt, något som inte  varit möjligt med tidigare bildalstrande radarsystem. Den nya radarn kan användas civilt för snabba mätningar av klimat- och terrängförändringar till lands.",,1993,75,9,304,1,,
6550001,Sofix,Kontaktsystem som efterträder Europadonet. Det nya donet ska användas både i industrimiljö och för telekommunikation. Donet ser ut att bli den dominerande standarden för bakplanskontakter i framtiden. ,,1991,32,9,9,1,not forest,
6583001,,Fiberoptisk trycksensor. Sensorn består av en kiselkropp och en optisk fiber. Mätprincipen går ut på att detektera den ljusmodulation som fås i en kavitet om kavitetens mått är av samma storleksordning som ljusets våglängd. ,,1994,21,9,602,1,not forest,
6714001,,"Induktiv omrörare för kontroll av gjutsträngens stelningsförlopp vid kontinuerlig gjutning av stora slabs, d v s stålämnen avsedda för valsning av grovplåt. Omröraren placeras bakom gjutsträngens stödrullar. Den bildar ett kraftigt elektromagnetiskt fält som i den stelnande gjutsträngen åstadkommer rörelser över en lång sträcka i dess ännu flytande kärna. Detta förbättrar stelningsförloppet avsevärt. Den av Asea utvecklade tekniken med induktiv omrörning av stål används sedan många år i ljusbågsugnar och skänkugnar. Den ger större flexibilitet vid stränggjutning, eftersom man kan tillåta större övertemperatur vid gjutningen. KRistallstrukturen blir bättre och reduktionsgraden kan minskas i den efterföljande valsningen. Centrumsegringen minskas avsevärt. ",,1978,27,9,9,1,not forest,
6801001,MicroController 20X,Kontrollsystem för stränggjutning som använder självadaptiva regulatorer och ett PC-baserat loggningssystem,,1997,275,9,"602,601",1,not forest,
6851001,Docol Roll,"Nytt höghållfast stål speciellt anpassat för produktionsmetoden ""roll forming"" (det första som är anpassat till denna produktionsmetod)",,2007,361,9,9,1,not forest,
6861001,Alvotherm,"Metod för framställning av melass. Både mekanisk och biologisk renhet är väsentliga egenskaper för melass, som ska användas för jästproduktion. Bakterier och främmande jäststammar försämrar kvaliteten och utbytet i den färdiga produkten, medan medföljande fasta partiklar förorsakar avfärgning, och denna kräver en lång och kostsam tvättningsprocess, ånyp på bekostnad av utbytet. Med hjälp av slamningsseparator och steriliseringsapparatur kan man få bort mekaniska respektive biologiska föroreningar. ",,1971,15,9,105,1,not forest,
6873001,,"Fraktionator . Apparaturen medger att man minskar behovet av vattenförbrukning för pappers- och cellulosaindustrin, och att fibrerna kan återvinnas till produktionen. ",,1972,21,1,"202,206,207",1,,
6878001,,"Pulverbeläggningsmaterial avsett att eliminera många av de problem som finns i och med pulverbeläggning. Orsaken till att man tidigare i så liten utsträckning har använt pulverbeläggningsmetoden har varit dålig glans och otillfredsställande motståndskraft mot UV-ljus och värme. Det nya pulvermaterialet är baserat på polyester- och melaminföreningar, medan de tidigare ofta utgick från epoxiharts. Det nya materialet uppvisar under långvariga test betydligt bättre värden för glans samt ljus- och värmebeständighet. Detta förväntas innebära, att industrin i större utsträckning kommer att övergå till pulversprutning från traditionella lösningsbaserade lacker. Pulversprutning innebär en hel del fördelar. Utbeläggningen kan i regel genomföras i ett enda arbetsmoment. Det material som inte direkt appliceras på produkten under en elektrostatisk process, kan återvinnas och ånyo användas. Man slipper i stort sett också föroreningsproblematiken vid ytbeläggning med flytande lacker. Pulvret är lättare att transportera och innebär ingen brandrisk.",,1973,28,9,"206,103",1,not forest,
6880001,AGA Thermovision 750,"Bärbart infrarödkamerasystem. Hela IR-utrustningen, en handkamera, bildenhet och batteriväska väger endast 8,3 kg. Inställningen av temperaturnivån är automatisk, vilket innebär att kontrasten är oförändrad även då IR-kameran panoreras över föremål med varierande temperatur. Temperaturskillnader mellan föremålets olika delar mäts med en s k isotermfunktion. Då temperaturen sammanfaller med den inställda isotermnivån framträder dessa områden på bilden som mättat vita. Isotermen kan med en ratt steglöst förflyttas inom hela det utvalda temperaturområdet. o",,1973,23,9,9,1,not forest,
6891001,Biorotor,"Reningsaggregat som bygger på nya principer. Aggregatet består i princip av en roterande tunna, en biologisk kontaktrotor. Vid rening med en vanlig kontaktrotor har man dålig styrning på vattnet och har inte säker kontroll över kontakttid och kontaktsträcka för vattnet och den biologiska ytan. PN låter istället vattnet passera genom en ""tunna"" -en sluten rotor -där vattnet tvingas längs en skruvad bana uppbyggd av lameller. Därmed har man garantier för att vattnet passerar hela skivytan (den biologiska ytan). Man känner alltså -och kan styra -kontakttid och kontaktsträcka. ",,1973,90,1,9,1,not forest,
6893001,,"Jonbytarteknik för att behandla färgade avloppsvatten. Många utsläpp från skogsindustri innehåller intensivt mörkfärgade nedbrytningsprodukter av lignin. På dessa mörka föroreningar biter inte biologisk neddbrytning. Allmänt använda metoder, såsom fällning och flockning, kan vara mycekt effektiva ur många synpunkter, men man får endast en mycket liten avfärgning. Dessutom är slambildningen avsevärd. ",,1973,21,3,"212,206,103",1,detailed history of development process,
6894001,Sorbol,"Högeffektivt och snabbarbetande absorptionsmedel. Medlet är till för uppsugning av oljespill samt vatten på golv och mark jämte absorption av flytande kemikalier, gifter och andra vätskor till torrsubstanser med enklare hantering och riskfriare transporter som följd. Absorptionsmedelt framställs genom sönderdelning och behandling av biologisk avfallsfiber. ",,1974,90,9,"212,207",1,not forest,
6898001,Gullspångsprocessen,"Metod för att genom vätskeextraktion återvinna en rad metaller ur höglegerat styckeskrot, svarvspån och slipspån. ",,1974,37100,9,206,1,"not forest, very interesting in urgency of resource limitation",
6912001,,"Torksystem. Genom att sluta torksystemet, sätta det under tryck och torka i överhettad ånga, kan det för förångningen tillförda värmen helt återvinnas. Torken bygger på s k mottrycktorkning eller ångflingtorkning.",,1976,21,9,203,1,driven by energy cost,
6915001,,"Metod och system för oxygenblekning av pappersmassa. Systemet innebär att massan eftersilningen avvattnas i Kamyrs tvättpressar till ca 30 % torrhalt, däreftertillsätts oxiderad vitlut. ",,1976,21,2,213,1,,
6916001,Kamyr-kokaren,Kontinuerlig massakokare.,,1976,21,2,"103,203",1,,
6918001,MoDoCil,"Process för syreblekning av pappersmassa. Processen innebär att massan efter tvättning och screening görs 30 % torrare i pressarna. Med syreblekning halveras avfallet med hälften, inkluderande lignin.",,1976,21,2,201,1,,
6919001,Hi-Heat,Massatvätt; en s k kontinuerlig diffusör.,,1976,21,2,203,1,,
6921001,Kenotaf,Hydrofoberingsmedel; medel som gör material hydrofoba. ,,1977,21,2,999,1,good example of bv2,
6928001,,Förträngningblekning. Blekmetoden kräver mindre utrymme och mindre vatten och är således mer miljövänlig än den gängse filterblekningen.,,1975,21,2,"203,202,161",1,,
6929001,,Mixer för massatillverkning. ,,1977,21,2,"203,202,161",1,,
6933001,Hylosan PT,"Träskyddsmedel. Produkten är ett vattenlösligt medel av AAC-typ. Aktiva beståndsdelar är en kvartär ammoniumförening och TBTO. Medlet tillhör en helt ny generation träskyddsmedel, som förväntas få ökad användning under 1980-talet. Den biologiska effekten hos olika alkylammoniumföreningar har visat att AAC-medlen har god skyddseffekt mot vanliga rötsvampar och insekter. ",,1979,20,9,"701,112",1,,
