sinno_id,Innovation name in Swedish,Description in Swedish,Additional Info
7777001,,"Traktorband av stål och gummi för boggin till skotare, avsedd för att minska skadeverkningarna på trädens rotsystem vid skogsgallring. ",
7782001,Tydraul,Förskjutbar släpboggie för skogstransporter som ger tidsbesparingar. Släpet är så konstruerat att hjulboggien kan förskjutas framåt under lastytan så at fordonet blir mer lättmanövrerat på slingriga skogsvägar.,Möjliggör tidsbesparingar vid lastning av timmer
7796001,,Maskin som tar upp granplantor avsedd för verksamhet kring skogsplantering.,Arbetsbesparande; effektivitet
7809001,,Såg med horisontell klingmatning av den roterande klingan som minskar riskerna för att arbetsstycket slungas mot operatören.,Skärpta krav på säkerheten hos byggsågarSäkerhet
7827001,,Fjärrstyrd vinschskotare avsedd för kvistning och kapning av gallrad skog. Skotaren är utrustad med två kombinerade vinschar och kranar som manvreras via bärbara radiosändare.,
7852001,,"Pistol som laddas med gifttabletter för att rensa bort sly, buskar och oönskade lövträd.",
7859001,,"Världens första automatiska skjortknäppningsmaskin. Maskinen arbetar på följande sätt: Först fixeras dragknapphålet över en hake, och knapphålsraden läggs mot en kant med klamrar. Maskinen lägger ner knapphålsraden över knapparna som bygger på en borstrand. Hakar söker sig igenom knapphålen förs över knapparna och ställs på kant för att knapparna ska lutas. Därefter drar hakarna knapparna genom kanpphålen, hakarna styrs tillbaka så att knapparna kan passera genom hakarna.",Automatisering; snabbhet
7892001,Cerkon,Plastkon som fungerar som miniväxthus som ska användas vid frösådd. Konen placeras över fröet som såtts i skogen. Efter tre år är plastkonen helt nedbruten och har blivit till koldioxid och vatten. Fördelen med miniväxthuset framför plantering är att varje planta blir avsevärt mycket billigare. ,
7897001,,"Stubbrytningsaggregat. Aggregatet monteras direkt på en skogstraktor, skotare eller liknande som är försedd med lastarm. Vid maximal belastning på traktorkranen 1000 kg får man en luftkraft på tången på 36 ton. En jägmästare hävdar att stubbrytning är det enda sättet att rädda den svenska skogen från snytbaggen. Stubbrytning ger också energi till låga kostnader. ",Patenterad teknik. 
7919001,Tumlaren,Stubbrensare. När stubbarna rensas direkt på hygget minskar kostnaderna för att ta dem till fabrik. Fabrikerna gör t ex stubbflis av stubbarna. ,Utvecklad på uppdrag av Stora Kopparberg. 
7939001,,"Träduppdragare; ett hydrauliskt redskap som greppar tag, bryter upp och skalar rotgrenar av trädet. Med den nya tekniken kan 25 % mer av skogen tas om handl ",
7944001,Skellefteterminal,"Metod för att tillvarata gallringsvirke. Okvistat och buntat levereras det till en terminal där virket maskinbearbetas. Hälften blir pappersmassa, hälften råvara till energiproduktion. Röjning och gallring av skog är eftersatt på många håll p g a dålig lönsamhet, med den här uppfinningen hoppas man att lönsamheten ska öka. ",
8015001,Nitspiken,"Spik med ""synålsöga"" i den vassa änden. Öglan pressas isär när spiken når mothåll och förhindrar att den vandrar i trät. ",
8020001,,Utrustning för komprimering av talltoppar. Innan har det inte varit lönsamt att ta hand om klenvirke men med den nya metoden går det att bättre nyttja transportfordonens lastkapacitet. ,
8085001,,Profilsystem för beklädnad av träfönster. Med profilsystemet blir fönstrena näst intill underhållsfria. Profilerna är i stål. ,Mycket underhåll av träfönster. 
8122001,,Multifunktionell skogsavverkningsmaskin. Maskinen fäller träd och transporterar sedan ut dem ur skogen. Upprinnelsen till innovationen är den allt större utbredningen av helträdsavverkning och den förlust som görs när träden släpas ut ur skogen. ,
8129001,,Hydrauldriven kombinerad såg- och klyvmaskin. Maskinen matas med stockar som den med en kedjesåg kapar i lämplig kubblängd. Kubben faller ner i klyven där en hydraulkolv trycker kubben genom ett stjärnformat klyvjärn. ,
8149001,,Specialmaskin för skörd av energiskog. ,
8167001,Tree-Max,Skogsmaskin som rycker upp hela träd med stubbe och rotsystem. ,
8193001,,Plaststift för fästning av etiketter på virke. ,Metallskrot fastnar och förstör virkessågar. 
8193001,,Plaststift för fästning av etiketter på virke. ,Metallskrot fastnar och förstör virkessågar. 
8238001,,Metod för att avfetta furufanér. ,För mycket spill.Utvecklat för egna behov men ska även säljas. 
8379001,,Mikrodatorstyrd skogsmaskin. Maskinen är den första i sitt slag som arbetar enligt den s k värdeapteringsprincipen. Det innebär att virkesvolymen hos ett träd utnyttjas på ett sådant sätt att det ekonomiska ytbytet blir så stort som möjligt. De dagsaktuella virkespriserna matas in i en databas. Därefter är det bara för maskinföraren att fälla ett träd och mata in vilket trädslag det rör sig om. Maskinen arbetar sedan direkt mot prislistan. Trädets dimenstioner mäts och datorn beräknar hur trädet bör kapas för att det maximala virkesvärdet ska kunna tas till vara. ,Mikrodatorstyrd. Optimerar uttaget av virke. 
8422001,,Mätram för sågverk. Ramen mäter diameter och form hos varje individuell stock. Mätramen minskar spillet för sågverken. Mätningen sker med lysdioder och dubbla fotoceller. ,
8741001,Ecoplugg,Biologisk nedbrytbar plugg i plast för slyrensning.,
8758001,,Metod för tryckimpregnering med linolja. Miljövänligt impregneringsmedel för trä. Medlet är en modifierad oljeprodukt. Medlet får så låg viskositet så att det kan tränga in i kärnan av träet. ,Ger färg som sitter kvar längre; blir svårare att mögla
8758001,,Metod för tryckimpregnering med linolja. Miljövänligt impregneringsmedel för trä. Medlet är en modifierad oljeprodukt. Medlet får så låg viskositet så att det kan tränga in i kärnan av träet. ,Ger färg som sitter kvar längre; blir svårare att mögla
8781001,,Pressat trä som tillverkas med en patenterad isostatisk pressningsmetod.,Applicering av teknologier på nya områden (Quintuspressen applicerad på trätillverkning)
8789001,Cedomon,"Biologiskt bekämpningsmedel baserat på bakterien Pseudomonas chlororaphis som producerar små mängder lätt nedbrytbara bekämpningsmedel direkt på det groende kornet. Medlet kan ersätta några av de giftiga kemiska preparat som idag används vid betning av spannmål, då utsädet skyddas mot sjukdoma.",
8799001,,Luftfilter som tillverkas så att en viss mängd rapsolja som adderats till plastskum värmebehandlas med mikrovågor. Rapsoljan bildar en klibbig hinna på cellerna i skumplasten och fungar upp små partiklar.,"Tål skakningar, köldtålighet; fuktavvisande; hög reningsgrad"
8803001,,Metod att lastsäkra med vakuum. Lastsäkringen går till så att en tätningsduk läggs öve lasten. Med en vakuumpump minskas trycket inne i duken som då pessas mot godset. Därmet pressas också godset mot flakytan vilket ökar fiktionen och därmed motverkas risken att lasten ska glida eller tippa. Fördelen med vakuumsäkring är att den går betydligt snabbare än konventionell säkring med spännband.,Tidsbesparande; mindre risk att lasten ska glida eller tippa
8835001,Rotfinder,Instrument som detekterar mängden röta i träd. Tekniken bygger på att de metaller (mangan och kalium) som tas upp av trädet när det börjar ruttna spåras genom att elektricitet tillförs trädet. ,
9014001,Thermoseed,Teknologi för att med varm luft i en fluidbädd blåsa utsäde fritt från smittor och sjukdomar.,"Vidareutveckling av en uråldrig metod där man doppade säckar med utsäde, först i varmvatten och sedan i kallt, innan det torkades och lagrades inför vårsådden."
9048001,,"Papper som är vattentätt baserat på katalytisk process som ger nya egenskaper hos cellulosa och kan användas för att impregnera trävirke så att det står emot röta och eld, eller för att göra bommullstyg vattenavstötande.",Ny teknik som ger cellulosa helt nya egenskaper. Papper görs vattenfrånstötande genom att en fettsyra bundits till cellulosamolekylen.
9089001,,Nytt byggsystem för höga trähus med en balken som klarar långa spännvidder och dämpar stegljud.,Materialsnål konstruktion; klara långa spännvidder; dämpar stegljud
9120001,,Miljövänliga gödselmedel för trädplantor som bygger på aminosyror vilka innehåller det kväve som växterna behöver. 2008 vil Swetree börja testa gödsel också på andra typ er av plantor,Forskningsresultat gällande aminosyror som ska användas i framställningen av gödselmedlet
9226001,X-block,"Energisparventil som kan monteras på befintliga tryckluftscylindrar och få dem att gå fortare, jämnare och tystare och bara dra hälften så mycket tryckluft som tidigare. Det sänker energikostnaden med minst hälften.","Ger fortare, jämnare och tystare tryckluftscylindrar; drar bara hälften så mycket tryckluft; sänker energikostnader; sänker luftförbrukningen"
9250001,Peranet,Strängsprutat plastmaterial med galler- eller nätstruktur som produceras med en för den nordiska marknaden ny teknik,strängsprutformningsteknik
9278001,,"En skyddshjälm med visir, avsedd för i första hand svetsare.",Förbättrad arbetsmiljö
9408001,MODOLOG,Polymeriska impregneringsagenter för (gran-)trä,dimensionsstabilitet
9412001,Kockum Arbomatic Processor,Maskin för skogsindustrin som används vid bearbetandet av avverkat timmer (t.ex. för avkvistning etc.).,
9413001,Karlstadplattan,Spånskiva som tillverkas av ramsågspån från furu och gran med en patentsökt produktionsmetod. ,"ny patenterad produktionsmetodtvärdragshållfasthet, skruvhållkraft, uthållfasthet"
9415001,,"Jordförbättrande produkt som är resultatet av en ny process som istället för att bränna barkavfall, vilket är ett miljöproblem, konverterar barkavfallet till denna produkt",bränd bark var ett allvarligt miljöproblem
9416001,GARTAX,"Ny typ av bandmatare i emballeringslinjer, som kan användas för bandomföring kring det kolli som ska bandas, men också byggas in i pressar för presspaketering. Bandmataren kan omställas för olika banddimensoiner och är vidare försedd med automatisk start och stopp samt bandutkastning efter fullbordad bandomföring. ",Kompakt; (vilket gör att bandmataren) kan byggas i olika typer av kompromatorer och rpessar
9417001,,Nytt emballagematerial av papper. Pappret är högtöjbart med mellanliggande plastfolie och asfaltlaminering.,"Säkerhet, fuktavvisande, lägre kostnad för användaren; ger sågverken möjlighet att skära ner distributions- och hanteringskostnader"
9418001,Vänerply Profil,"Ny typ av plywood, avsedd för utvändiga paneler vid småhusbebyggelse, som framställs med ytfaner",
9423001,"Sandvik ""minivib""",Cirkelsågklinga i hårdmeall som ger mindre buller genom att en urvarvning i klinglivet är fyllt med ett ljud- och vibrationhämmande material,
9430001,,"Lätt byggsystem som bygger på komponenterna 'Masonite Balk', 'Masonite Wall Frame', och 'Masonite Wooden Facade' för bl.a. prefabrikerade trähus ",Masonite Board
9431001,"Volvo BM 900 (eller ""skördaren"")","Ny skogsmaskin som har högre kapacitet och kan både fälla, kvista och kapa ","Högre kapacitet, kan både fälla, kvista och kapa"
9432001,P-Såg,"Nytt minidatorbaserat styrsystem för sågverk. Från någon av dataterminalerna i sågverket kan man utan dröjsmål få de besked man önskar. T ex produktionsrapporter, uppgifter om sågutbyten, avbrottsstatistik eller kontroll uppgifter gällande brädernas dimensioner.","Utvecklad för den egna anläggningen, sedemera försäljning."
9433001,,Ny traktordriven flishuggarmaskin som är självmatande,
9436001,,"Vattenkyld klingsåg med tunnar sågsnitt, mindre sågbyggnad och högre kapacitet","tunna sågsnitt, mångsidig postning med tunna sidobräder, enkel verktygsskötsel, god måttnoggrannhet"
9444001,Swanboard 3-D,Nytt skivmaterial som genom prägling i en efterpressanläggning för en god struktur och ådring som liknar äkta träpaneler,ny tillverkningsmetod
9444001,Swanboard 3-D,Nytt skivmaterial som genom prägling i en efterpressanläggning för en god struktur och ådring som liknar äkta träpaneler,ny tillverkningsmetod
9446001,Kockums 81-11,Liten skogsmaskin för 'tidiga gallringar' som genom sin litenhet lätt tar sig sin i skogsbestånden och fäller de rätta träden,Avlastar personalen; gör tidiga gallringar lönsamma; enkelhet; möjliggör en förlängd gallringssäson; kan arbeta i fraktionerad slutavverkning
9448001,NACO procesen,Ny process för produktion av blekt massa.,Mindre produktionsenheter
9454001,,Ny virkestorkare som genom att undanröja organiska upplösare drastiskt minskar energikonsumtionen. Problem vid konventionella virkestorkare som opererar med stora luftmängder äär att virket torkas ut. Genom att använda turbulent luft begränsas den nödvändiga luftbolymen vilket besparar en stor energimängd. ,minskar mängden luft som går åt vid torkning; energibesparande
9458001,Pulco Blåskydd,skyddsmedel mot blånads- och mögelsvampar där den aktiva substansen är ortefenylfenol för sågat virke,
9460001,,"automatiserat bioenergisystem som konverterar skogsrester till bränsle, som bygger på en ny mobil kvistningsmaskin","profitabilitet för användaren, energibesparande"
9462001,,Tabletter som tar död på träd som skapar lövslyproblem genom att tabletter förs in i trädstammen,problem med lövsly på hyggen
9464001,,Anläggning som bygger på ny barkningsteknik som gör det möjligt att barka eucalyptus oavsett ålder.,hög kapacitet
9476001,,Slipmaskin för ojämna och målade ytor.,Sparar tid och pengar. Klarar ojämna ytor.
9524001,,Maskin som komprimerar avverkade träd till hanterbara stockar som sedan kan forslas ut ur skogen. Det fällna virket blir mer hanterbart och hela processen blir smidigare.,Smidigare hantering av avverkat timmer
9525001,,Maskin som komprimerar avverkade träd till hanterbara stockar som sedan kan forslas ut ur skogen. Det fällna virket blir mer hanterbart och hela processen blir smidigare.,Smidigare hantering av avverkat timmer
9554001,,Anläggning för konditionering och vakuumförpackning av tyg enligt den patenterade svenska metoden TEX-VPS. I förpackningsmaskinen sugs lften ur förpackningen och påsen förslutes.  Därefter sker märkning med tillverkningskod och antal meter. Slutligen sträckfilmas och bandas pallen som i leveransklart skick väger ca 250 kg.,"Patenterad svensk metod kallad TEX-VPS. Vanliga problem vid långtidsförpackning är försämring av tyg och risk för kassation.Ökad livslängd för förpackade tyger, minskad kassationsrisk,  minskad konfekteringstid, kapacitet"
9556001,,Avsyningsmaskin som tillåter att den flata trikåslangens båda sidor kan avsynas vid endast en passagen genom maskinen.,Steglös reglerbarhet
9602001,,Teknik för att pulverlacka värmekänsliga trä- och plastbaserade material. ,
9608001,Toolvac Technology,Teknik för kylning/temperering av formverktyg.,Lägre processkostnad
9720001,,System för avskiljning av metallföremål vid pneumatisk flistransport. Systemet fungerar så att en i en transportledning inbyggd spole indikerar metallföremål som passerar. Den ger då en impuls som dels stoppar materialtillförseln till systemet och dels öppnar en ventil som släpper ut det indikerade föremålet ur ledningen.,
9722001,Gödjord,"Material som kan ersätta matjord i gräsmattor, rabatter, parkanläggningar, idrotsplaner m.m. som är fritt från rotogräs, klumpar och sten. Materialet  består av sand och rötslam. ","Fuktighet, ökad mikrobaktivitet"
9740001,Sonoforce,Produkt som genom att låta ljudet från en 'tyfon' aktivera den inblåsta luften undviker valvbildningar hos bulkmaterial och erhåller ett jämnare flöde vid lastning och lossning. ,Kräver mindre utrymme och ger större last.
9789001,,"Ett brandsläckningssystem, en kolsyreanläggning, dimensionerad för att kunna släcka brand i motorrum och hydraulutrymmen. När brand uppstår utlöses en termokontakt som i sin tur utlöser en röd blinksignal i förarhytten. ",Bränder i processorer och andra stora skogsmaskiner medför ofta totalförstörelse och kan orsaka skogsbränder.
9937001,Mobeel,Programvara som möjliggör lagring av data som skickas från skogsmaskinförare till mobiltelefoner. Datan skickas till central terminal så fort det finns täckning inom GSM-nätet. ,Utvecklat på uppdrag.
10107001,,"Rotator för vridning av hängande kranlaster. Den nya rotatorn kännetecknas av enkel konstruktion, högt vridmoment, låg vikt och lågt pris. Eftersom den har konstruerats för att klara laster på upp till 8000 kg bör den enligt uppgift inte bara bli intressant för skogsindustrin utan även för bygg- och transportsektorerna samt för den tyngre verkstadsindustrin.","Högt vridmoment, klarar tung last."
10148001,,"Station för inmätning av timmer. Mätningen av timmer kan nu utföras i uppvärmd lokal med rätt belysning. Stor vikt har lagts vid den ergonomiska utformningen av arbetsplatsen. Stationen kännetecknas av en ombonad arbetsmiljö. Bländfri belysning, låg bullernivå och rätt arbetshöjd på mätbordet. ",Arbetsförhållanden förbättrade. 
10148001,,"Station för inmätning av timmer. Mätningen av timmer kan nu utföras i uppvärmd lokal med rätt belysning. Stor vikt har lagts vid den ergonomiska utformningen av arbetsplatsen. Stationen kännetecknas av en ombonad arbetsmiljö. Bländfri belysning, låg bullernivå och rätt arbetshöjd på mätbordet. ",Arbetsförhållanden förbättrade. 
10190001,,"Traktorserie. Konstruktionen är unik i det avseende att framaxeln är placerad mitt under motorn och att den rymliga bränsletanken på 180 L bildar en bärande del av chassiet. Axelns placering ger mycket gynnsam viktfördelning och därmed goda dragegenskaper. Kraftöverföringen till den drivna framaxeln är helt inbyggd och väl skyddad. Fyrhjulsdriften tillsammans med att traktorn är robust och har släta botten- och sidoytor, stor frigångshöjd och låg tyngdpunkt gör den också användbar i skogskörning. ",Framkommen genom samarbete.
10506001,mute:on,Ljuddämpande tyger. ,
10544001,Retherm-A,Värmeväxlare i plast som möjliggör värmeåtervinning även i mycket korrosiva miljöer. Värmeväxlaren består av ett antal oflänsade rörslingor infästade till två större fördelningsrör - ett i vardera änden av rörslingorna. ,Möjliggör värmeväxling i mycket korrosiva miljöer; korrosionsbeständighet
10564001,Biomatic Komplett,"Varmluftsanläggning för eldning med flis, sågspån och torv, i första hand avsedd för spannmålstorkar, växthus, sågverk och industrier. Systeet är uppbyggt av två enheter, en varmluftspanna med automatiskt styrd förbränning samt en fastbränslebehållare (kallad Biomatic Komplett). Fastbränslebehållaren består i sin tur av bränslebehållare och en helautomatisk utmatningsanordning vilket minskar risken för att bränslet fastnar.",Automatisering (av förbränningen)
10564001,Biomatic Komplett,"Varmluftsanläggning för eldning med flis, sågspån och torv, i första hand avsedd för spannmålstorkar, växthus, sågverk och industrier. Systeet är uppbyggt av två enheter, en varmluftspanna med automatiskt styrd förbränning samt en fastbränslebehållare (kallad Biomatic Komplett). Fastbränslebehållaren består i sin tur av bränslebehållare och en helautomatisk utmatningsanordning vilket minskar risken för att bränslet fastnar.",Automatisering (av förbränningen)
10574001,,"Miljövänligt renspumpsystem med ett patenterat magasin. Systemet består av en mammutpump med kompressor, en dykarledning och ett magasin.  Risken för bräddning vid driftstopp och därmed förorening av näraliggande vattendrag elimineras i renspumpsystemet som inte har något bräddvlopp.",Patenterad teknologi som förhindrar driftstopp.Energibesparade; eliminerar risk för bräddning vid driftstop och därmed förorening av näraliggande vattendrag; medför lägre kostnader.
10579001,,Anläggning för vattenrening baserad på principen att man använder recipienten havet som utjämningsbasäng. Systemet består av horisontella flytbassänger där själva recipientvattnet används som balanserande medium I flytbassängerna finns förstärkta och väl tilltagna plastskynken som förankras mot recipientens botten.,Ny metod där havet används som utjämningsbassäng.
13013001,Cambio 600,"Maskin för att barka timmer med högre prestanda. ""Traingelmatarverk med piggvalsar och pneumatiskt styrda barkningsverktyg med hårdmetallplattor är några av anledningar till barkningsresultatet med minimala vedskador."" (NTT, 2007, nr.14, p.13).",
13014001,Eurosaw S6 D,"Ny, ställbar dubbelaxlig klingsåg för fyrsidigt reducerade block. Den har sex ställbara klingor på teleskopiska axlar som medger ögonblickliga omställningar. Tekniken med mötande klingor på dubbla axlar garanterar hög prestanda och produktkvalitet. (NTT, 2007, nr.14, p.13)",
13016001,Catech 6000,Kantautomat med nytt styrsystem för såväl bemanand som obemannad drift.,
13017001,,Våtslipsystem för eggverktyg (dvs. en slipmaskin för exempelvis knivblad och dylikt). En central funktion är den jigg som sitter på maskinen som tillåter att slipningen av det använda objektet sker i samma vinkel hela tiden.,
